Step,AgentID,State,DistrictID
0,0,Susceptible,6
0,1,Susceptible,24
0,2,Infected,20
0,3,Susceptible,21
0,4,Susceptible,20
0,5,Infected,15
0,6,Susceptible,2
0,7,Infected,23
0,8,Infected,7
0,9,Susceptible,2
0,10,Susceptible,6
0,11,Susceptible,15
0,12,Infected,23
0,13,Infected,3
0,14,Susceptible,18
0,15,Infected,13
0,16,Infected,0
0,17,Infected,7
0,18,Susceptible,0
0,19,Infected,2
0,20,Infected,13
0,21,Infected,13
0,22,Infected,1
0,23,Infected,8
0,24,Susceptible,17
0,25,Infected,8
0,26,Infected,4
0,27,Infected,5
0,28,Infected,15
0,29,Infected,2
0,30,Infected,18
0,31,Infected,8
0,32,Infected,12
0,33,Susceptible,7
0,34,Susceptible,9
0,35,Susceptible,12
0,36,Infected,11
0,37,Infected,22
0,38,Susceptible,24
0,39,Susceptible,10
0,40,Infected,6
0,41,Infected,11
0,42,Infected,6
0,43,Susceptible,3
0,44,Susceptible,21
0,45,Infected,19
0,46,Infected,24
0,47,Infected,20
0,48,Susceptible,4
0,49,Infected,6
0,50,Infected,9
0,51,Susceptible,16
0,52,Susceptible,15
0,53,Susceptible,20
0,54,Infected,6
0,55,Susceptible,15
0,56,Susceptible,23
0,57,Infected,17
0,58,Infected,0
0,59,Infected,12
0,60,Susceptible,5
0,61,Infected,16
0,62,Infected,8
0,63,Susceptible,17
0,64,Susceptible,19
0,65,Susceptible,12
0,66,Susceptible,12
0,67,Susceptible,8
0,68,Susceptible,20
0,69,Infected,7
0,70,Infected,3
0,71,Infected,12
0,72,Susceptible,6
0,73,Infected,13
0,74,Susceptible,21
0,75,Infected,1
0,76,Susceptible,18
0,77,Susceptible,5
0,78,Infected,11
0,79,Susceptible,20
0,80,Infected,0
0,81,Susceptible,11
0,82,Susceptible,17
0,83,Susceptible,21
0,84,Infected,8
0,85,Infected,17
0,86,Infected,6
0,87,Infected,10
0,88,Susceptible,21
0,89,Infected,23
1,50,Infected,9
1,73,Infected,13
1,60,Susceptible,5
1,55,Susceptible,10
1,21,Infected,13
1,65,Susceptible,7
1,52,Susceptible,10
1,79,Susceptible,1
1,40,Infected,7
1,51,Susceptible,16
1,29,Infected,7
1,48,Susceptible,23
1,85,Infected,22
1,62,Infected,7
1,16,Infected,0
1,80,Infected,0
1,86,Infected,2
1,36,Infected,11
1,31,Infected,8
1,70,Infected,3
1,43,Susceptible,4
1,58,Infected,20
1,59,Infected,12
1,78,Infected,10
1,14,Susceptible,18
1,84,Infected,8
1,77,Susceptible,6
1,2,Infected,24
1,34,Susceptible,9
1,88,Susceptible,21
1,28,Infected,15
1,37,Infected,22
1,20,Infected,14
1,24,Susceptible,17
1,5,Infected,15
1,72,Susceptible,11
1,64,Susceptible,18
1,23,Infected,8
1,22,Infected,21
1,82,Susceptible,17
1,17,Infected,7
1,45,Infected,19
1,35,Susceptible,12
1,39,Susceptible,14
1,44,Susceptible,21
1,30,Infected,17
1,3,Susceptible,21
1,83,Susceptible,21
1,19,Infected,2
1,25,Infected,3
1,33,Susceptible,8
1,11,Susceptible,15
1,54,Infected,6
1,66,Susceptible,7
1,69,Infected,7
1,67,Susceptible,3
1,42,Infected,11
1,63,Susceptible,18
1,74,Susceptible,21
1,4,Susceptible,21
1,27,Infected,5
1,15,Infected,13
1,76,Susceptible,22
1,7,Infected,18
1,1,Susceptible,24
1,6,Susceptible,2
1,8,Infected,7
1,81,Susceptible,12
1,89,Infected,23
1,56,Susceptible,23
1,32,Infected,12
1,53,Susceptible,1
1,10,Susceptible,7
1,26,Infected,4
1,68,Susceptible,20
1,18,Susceptible,5
1,47,Infected,20
1,57,Infected,18
1,75,Infected,1
1,61,Infected,16
1,87,Infected,14
1,46,Infected,0
1,38,Susceptible,23
1,41,Infected,11
1,49,Infected,11
1,9,Susceptible,2
1,0,Susceptible,1
1,71,Infected,12
1,13,Infected,3
1,12,Infected,23
2,83,Susceptible,20
2,65,Susceptible,6
2,36,Infected,15
2,48,Susceptible,23
2,26,Infected,3
2,78,Infected,10
2,73,Infected,9
2,13,Infected,3
2,61,Infected,16
2,3,Susceptible,21
2,7,Infected,17
2,55,Susceptible,10
2,32,Infected,12
2,89,Infected,23
2,86,Infected,2
2,34,Susceptible,4
2,46,Infected,20
2,85,Infected,22
2,43,Susceptible,4
2,60,Susceptible,6
2,4,Susceptible,20
2,42,Infected,7
2,17,Infected,7
2,79,Susceptible,20
2,10,Susceptible,7
2,5,Infected,15
2,37,Infected,18
2,75,Infected,1
2,80,Infected,9
2,56,Susceptible,23
2,69,Infected,7
2,58,Infected,20
2,64,Susceptible,23
2,53,Susceptible,1
2,0,Susceptible,1
2,28,Infected,10
2,51,Susceptible,21
2,23,Infected,4
2,62,Infected,12
2,33,Susceptible,8
2,67,Susceptible,3
2,45,Infected,20
2,16,Infected,1
2,31,Infected,8
2,12,Infected,23
2,82,Susceptible,17
2,87,Infected,9
2,74,Susceptible,20
2,54,Infected,1
2,35,Susceptible,12
2,70,Infected,24
2,29,Infected,2
2,27,Infected,5
2,38,Susceptible,23
2,84,Infected,7
2,14,Susceptible,18
2,76,Susceptible,22
2,25,Infected,3
2,21,Infected,13
2,66,Susceptible,7
2,22,Infected,21
2,24,Susceptible,17
2,63,Susceptible,22
2,49,Infected,10
2,30,Infected,17
2,2,Infected,24
2,40,Infected,6
2,19,Infected,1
2,41,Infected,11
2,68,Susceptible,24
2,71,Infected,12
2,8,Infected,7
2,81,Susceptible,11
2,59,Infected,13
2,39,Susceptible,14
2,15,Infected,13
2,6,Susceptible,2
2,52,Susceptible,15
2,44,Susceptible,21
2,9,Susceptible,22
2,1,Susceptible,4
2,47,Infected,21
2,72,Susceptible,11
2,20,Infected,14
2,50,Infected,9
2,18,Susceptible,0
2,57,Infected,17
2,77,Susceptible,6
2,88,Susceptible,21
2,11,Susceptible,14
3,16,Infected,0
3,69,Infected,7
3,83,Susceptible,20
3,80,Infected,9
3,47,Infected,1
3,35,Susceptible,12
3,32,Infected,12
3,37,Infected,18
3,82,Susceptible,11
3,6,Susceptible,22
3,66,Susceptible,7
3,79,Susceptible,20
3,68,Susceptible,24
3,72,Susceptible,10
3,53,Susceptible,0
3,43,Susceptible,9
3,59,Infected,18
3,45,Infected,20
3,56,Susceptible,23
3,14,Susceptible,23
3,8,Infected,7
3,38,Susceptible,23
3,74,Susceptible,20
3,76,Susceptible,22
3,75,Infected,1
3,24,Susceptible,18
3,1,Susceptible,3
3,5,Infected,15
3,71,Infected,7
3,81,Susceptible,12
3,84,Infected,7
3,86,Infected,7
3,3,Susceptible,21
3,51,Susceptible,21
3,88,Susceptible,20
3,49,Infected,10
3,41,Infected,15
3,25,Infected,3
3,57,Infected,17
3,31,Infected,2
3,22,Infected,21
3,7,Infected,18
3,78,Infected,5
3,63,Susceptible,22
3,67,Susceptible,8
3,87,Infected,14
3,36,Infected,15
3,10,Susceptible,12
3,2,Infected,4
3,64,Susceptible,23
3,21,Infected,13
3,89,Infected,23
3,61,Infected,21
3,34,Susceptible,4
3,42,Infected,7
3,27,Infected,5
3,12,Infected,23
3,18,Susceptible,5
3,33,Susceptible,13
3,4,Susceptible,20
3,85,Infected,22
3,30,Infected,17
3,11,Susceptible,14
3,70,Infected,3
3,15,Infected,13
3,44,Susceptible,21
3,19,Infected,2
3,9,Susceptible,23
3,28,Infected,10
3,58,Infected,20
3,46,Infected,20
3,60,Susceptible,5
3,54,Infected,1
3,23,Infected,4
3,50,Infected,9
3,0,Susceptible,1
3,77,Susceptible,11
3,73,Infected,13
3,13,Infected,3
3,48,Susceptible,23
3,26,Infected,24
3,62,Infected,7
3,20,Infected,14
3,39,Susceptible,14
3,65,Susceptible,2
3,17,Infected,2
3,29,Infected,2
3,55,Susceptible,14
3,52,Susceptible,16
3,40,Infected,6
4,38,Susceptible,23
4,24,Susceptible,23
4,6,Susceptible,1
