Step,AgentID,State,DistrictID
0,0,Susceptible,8
0,1,Susceptible,0
0,2,Infected,20
0,3,Susceptible,0
0,4,Infected,13
0,5,Infected,4
0,6,Infected,8
0,7,Infected,2
0,8,Susceptible,20
0,9,Infected,6
0,10,Susceptible,15
0,11,Susceptible,11
0,12,Susceptible,20
0,13,Susceptible,12
0,14,Susceptible,23
0,15,Susceptible,15
0,16,Infected,5
0,17,Infected,21
0,18,Susceptible,10
0,19,Infected,15
0,20,Infected,14
0,21,Infected,0
0,22,Infected,23
0,23,Infected,13
0,24,Susceptible,9
0,25,Infected,22
0,26,Susceptible,14
0,27,Infected,5
0,28,Infected,7
0,29,Infected,7
0,30,Infected,6
0,31,Susceptible,20
0,32,Susceptible,15
0,33,Susceptible,4
0,34,Susceptible,12
0,35,Infected,2
0,36,Infected,15
0,37,Infected,12
0,38,Infected,11
0,39,Infected,22
0,40,Susceptible,0
0,41,Susceptible,8
0,42,Infected,2
0,43,Susceptible,8
0,44,Infected,16
0,45,Infected,5
0,46,Susceptible,12
0,47,Infected,22
0,48,Infected,14
0,49,Infected,24
0,50,Susceptible,6
0,51,Infected,2
0,52,Susceptible,6
0,53,Infected,1
0,54,Susceptible,14
0,55,Infected,18
0,56,Infected,9
0,57,Susceptible,4
0,58,Susceptible,10
0,59,Infected,15
0,60,Susceptible,4
0,61,Infected,1
0,62,Infected,10
0,63,Infected,7
0,64,Susceptible,16
0,65,Infected,13
0,66,Infected,10
0,67,Infected,15
0,68,Infected,22
0,69,Infected,18
0,70,Infected,23
0,71,Infected,15
0,72,Infected,11
0,73,Infected,18
0,74,Infected,21
0,75,Susceptible,19
0,76,Susceptible,19
0,77,Susceptible,4
0,78,Susceptible,9
0,79,Susceptible,6
0,80,Susceptible,12
0,81,Infected,9
0,82,Susceptible,21
0,83,Infected,21
0,84,Susceptible,2
0,85,Infected,17
0,86,Susceptible,6
0,87,Susceptible,21
0,88,Susceptible,10
0,89,Susceptible,24
1,13,Susceptible,11
1,33,Susceptible,4
1,31,Susceptible,4
1,6,Infected,8
1,41,Susceptible,8
1,72,Infected,11
1,1,Susceptible,0
1,57,Susceptible,4
1,32,Susceptible,16
1,66,Infected,10
1,49,Infected,0
1,40,Susceptible,0
1,77,Susceptible,9
1,59,Infected,15
1,44,Infected,15
1,17,Infected,21
1,55,Infected,17
1,12,Susceptible,15
1,11,Susceptible,15
1,46,Susceptible,12
1,37,Infected,12
1,3,Susceptible,0
1,0,Susceptible,7
1,47,Infected,22
1,7,Infected,8
1,43,Susceptible,3
1,42,Infected,6
1,16,Infected,6
1,83,Infected,2
1,54,Susceptible,19
1,58,Susceptible,11
1,23,Infected,12
1,56,Infected,9
1,87,Susceptible,16
1,88,Susceptible,10
1,39,Infected,17
1,81,Infected,9
1,28,Infected,2
1,14,Susceptible,18
1,76,Susceptible,19
1,52,Susceptible,1
1,45,Infected,0
1,61,Infected,1
