Step,AgentID,State,DistrictID
0,0,Infected,15
0,1,Infected,3
0,2,Infected,1
0,3,Susceptible,20
0,4,Infected,15
0,5,Infected,21
0,6,Infected,21
0,7,Infected,1
0,8,Susceptible,12
0,9,Susceptible,8
0,10,Susceptible,2
0,11,Susceptible,15
0,12,Susceptible,24
0,13,Infected,20
0,14,Infected,5
0,15,Susceptible,12
0,16,Susceptible,17
0,17,Infected,19
0,18,Infected,22
0,19,Susceptible,1
0,20,Susceptible,18
0,21,Infected,21
0,22,Infected,20
0,23,Infected,5
0,24,Susceptible,4
0,25,Susceptible,19
0,26,Susceptible,13
0,27,Infected,20
0,28,Susceptible,20
0,29,Infected,2
0,30,Infected,7
0,31,Infected,18
0,32,Infected,20
0,33,Susceptible,15
0,34,Susceptible,23
0,35,Susceptible,20
0,36,Susceptible,2
0,37,Infected,20
0,38,Infected,15
0,39,Susceptible,16
0,40,Infected,16
0,41,Infected,5
0,42,Infected,17
0,43,Susceptible,4
0,44,Infected,24
0,45,Susceptible,0
0,46,Susceptible,13
0,47,Susceptible,21
0,48,Infected,21
0,49,Infected,0
0,50,Infected,16
0,51,Susceptible,3
0,52,Infected,10
0,53,Susceptible,4
0,54,Susceptible,0
0,55,Susceptible,2
0,56,Infected,11
0,57,Infected,3
0,58,Susceptible,6
0,59,Infected,8
0,60,Susceptible,1
0,61,Susceptible,6
0,62,Susceptible,19
0,63,Susceptible,9
0,64,Susceptible,6
0,65,Infected,21
0,66,Susceptible,11
0,67,Infected,2
0,68,Infected,11
0,69,Infected,15
0,70,Infected,15
0,71,Susceptible,19
0,72,Susceptible,7
0,73,Infected,19
0,74,Infected,10
0,75,Susceptible,7
0,76,Susceptible,9
0,77,Infected,2
0,78,Infected,21
0,79,Susceptible,0
0,80,Infected,14
0,81,Infected,17
0,82,Infected,6
0,83,Infected,12
0,84,Infected,14
0,85,Infected,1
0,86,Infected,13
0,87,Infected,6
0,88,Susceptible,19
0,89,Infected,7
1,38,Infected,2
1,71,Susceptible,13
1,62,Susceptible,2
1,74,Infected,14
1,75,Susceptible,12
1,5,Infected,23
1,72,Susceptible,21
1,80,Infected,18
1,0,Infected,7
1,70,Infected,4
1,20,Susceptible,20
1,21,Infected,1
1,8,Susceptible,10
1,86,Infected,6
1,1,Infected,24
1,30,Infected,20
1,60,Exposed,14
1,89,Infected,10
1,73,Infected,11
1,59,Infected,7
1,67,Infected,5
1,41,Infected,22
1,7,Infected,5
1,61,Susceptible,10
1,27,Infected,7
1,4,Infected,14
1,18,Infected,19
1,57,Infected,19
1,23,Infected,5
1,42,Infected,8
1,9,Susceptible,11
1,64,Susceptible,18
1,22,Infected,16
1,82,Infected,10
1,68,Infected,1
1,17,Infected,1
1,45,Susceptible,22
1,33,Susceptible,10
1,55,Susceptible,3
1,25,Susceptible,7
1,81,Infected,2
1,84,Infected,22
1,54,Susceptible,1
1,77,Infected,2
1,69,Infected,10
1,44,Infected,24
1,46,Susceptible,8
1,35,Susceptible,10
1,43,Susceptible,11
1,40,Infected,20
1,56,Infected,13
1,31,Infected,10
1,52,Infected,5
1,83,Infected,5
1,36,Susceptible,16
1,28,Susceptible,11
1,87,Infected,6
1,3,Susceptible,18
1,6,Infected,14
1,10,Susceptible,9
1,29,Infected,22
1,63,Susceptible,19
1,76,Susceptible,18
1,14,Infected,8
1,88,Susceptible,16
1,85,Infected,1
1,49,Infected,22
1,19,Susceptible,0
1,11,Susceptible,2
1,34,Susceptible,20
1,12,Susceptible,20
1,32,Infected,6
1,78,Infected,10
1,53,Susceptible,5
1,65,Infected,11
1,26,Susceptible,9
1,48,Infected,22
1,24,Susceptible,24
1,15,Susceptible,5
1,79,Susceptible,4
1,47,Susceptible,24
1,37,Infected,14
1,51,Susceptible,18
1,13,Infected,6
1,50,Infected,12
1,66,Susceptible,20
1,39,Susceptible,10
1,2,Infected,17
1,58,Susceptible,12
1,16,Susceptible,20
2,38,Infected,2
2,11,Susceptible,3
2,59,Infected,11
2,58,Susceptible,17
2,51,Susceptible,19
2,45,Susceptible,21
2,66,Susceptible,4
2,80,Infected,18
2,24,Susceptible,19
2,3,Susceptible,18
2,17,Infected,1
2,25,Susceptible,2
2,50,Infected,13
2,62,Susceptible,1
2,7,Infected,5
2,61,Susceptible,11
2,36,Susceptible,16
2,89,Infected,10
2,44,Infected,4
2,84,Infected,22
2,65,Infected,16
2,54,Susceptible,0
2,26,Susceptible,9
2,52,Infected,9
2,40,Infected,15
2,20,Susceptible,1
2,35,Susceptible,5
2,1,Infected,24
2,86,Infected,1
2,71,Susceptible,18
2,64,Susceptible,18
2,56,Infected,13
2,32,Infected,6
2,79,Susceptible,0
2,78,Infected,10
2,33,Susceptible,5
2,21,Infected,21
2,39,Exposed,11
2,30,Infected,20
2,19,Susceptible,24
2,4,Infected,14
2,13,Infected,6
2,85,Infected,1
