Step,AgentID,State,DistrictID
0,0,Susceptible,18
0,1,Infected,20
0,2,Susceptible,15
0,3,Infected,22
0,4,Infected,0
0,5,Susceptible,3
0,6,Infected,22
0,7,Infected,6
0,8,Susceptible,23
0,9,Infected,17
0,10,Infected,13
0,11,Infected,22
0,12,Infected,3
0,13,Infected,20
0,14,Susceptible,19
0,15,Infected,4
0,16,Infected,15
0,17,Infected,9
0,18,Infected,15
0,19,Susceptible,8
0,20,Infected,13
0,21,Infected,1
0,22,Infected,17
0,23,Infected,6
0,24,Susceptible,8
0,25,Infected,22
0,26,Infected,23
0,27,Susceptible,0
0,28,Infected,6
0,29,Susceptible,0
0,30,Susceptible,20
0,31,Susceptible,17
0,32,Susceptible,10
0,33,Infected,14
0,34,Infected,4
0,35,Susceptible,20
0,36,Susceptible,22
0,37,Infected,0
0,38,Infected,18
0,39,Susceptible,15
0,40,Susceptible,14
0,41,Infected,0
0,42,Susceptible,8
0,43,Susceptible,8
0,44,Susceptible,3
0,45,Infected,1
0,46,Infected,22
0,47,Infected,14
0,48,Susceptible,18
0,49,Susceptible,10
0,50,Infected,18
0,51,Infected,19
0,52,Susceptible,3
0,53,Susceptible,9
0,54,Susceptible,12
0,55,Infected,5
0,56,Infected,3
0,57,Infected,24
0,58,Infected,9
0,59,Susceptible,24
0,60,Infected,5
0,61,Susceptible,11
0,62,Susceptible,0
0,63,Infected,21
0,64,Susceptible,15
0,65,Infected,7
0,66,Susceptible,8
0,67,Infected,12
0,68,Susceptible,3
0,69,Infected,20
0,70,Susceptible,15
0,71,Infected,0
0,72,Susceptible,12
0,73,Susceptible,23
0,74,Infected,2
0,75,Susceptible,9
0,76,Infected,4
0,77,Infected,20
0,78,Susceptible,0
0,79,Infected,0
0,80,Susceptible,6
0,81,Susceptible,18
0,82,Infected,20
0,83,Susceptible,9
0,84,Infected,18
0,85,Infected,14
0,86,Infected,10
0,87,Susceptible,0
0,88,Susceptible,16
0,89,Infected,10
1,48,Exposed,18
1,37,Infected,13
1,82,Infected,18
1,7,Infected,23
1,12,Infected,9
1,17,Infected,12
1,84,Infected,3
1,15,Infected,0
1,23,Infected,7
1,81,Susceptible,20
1,71,Infected,6
1,88,Susceptible,23
1,69,Infected,13
1,51,Infected,23
1,22,Infected,18
1,86,Infected,4
1,10,Infected,19
1,64,Exposed,3
1,45,Infected,14
1,74,Infected,12
1,28,Infected,24
1,72,Exposed,3
1,75,Exposed,7
1,58,Infected,17
1,55,Infected,9
1,35,Susceptible,13
1,29,Susceptible,22
1,44,Exposed,24
1,46,Infected,1
1,57,Infected,20
1,65,Infected,18
1,33,Infected,1
1,26,Infected,11
1,25,Infected,21
1,36,Susceptible,13
1,3,Infected,8
1,27,Exposed,21
1,18,Infected,6
1,54,Exposed,8
1,77,Infected,5
1,2,Susceptible,14
1,89,Infected,24
1,20,Infected,7
1,11,Infected,5
1,31,Exposed,21
1,14,Susceptible,20
1,56,Infected,16
1,0,Susceptible,16
1,83,Susceptible,10
1,67,Infected,13
1,50,Infected,2
1,6,Infected,22
1,49,Susceptible,14
1,4,Infected,16
1,42,Susceptible,16
1,39,Exposed,9
1,24,Susceptible,7
1,63,Infected,15
1,41,Infected,3
1,68,Susceptible,12
1,59,Susceptible,12
1,76,Infected,5
1,79,Infected,14
1,85,Infected,22
1,66,Exposed,22
1,16,Infected,18
1,19,Susceptible,15
1,5,Susceptible,15
1,80,Exposed,12
1,34,Infected,23
1,21,Infected,13
1,47,Infected,5
1,38,Infected,9
1,9,Infected,9
1,61,Susceptible,22
1,8,Susceptible,2
1,78,Susceptible,8
1,13,Infected,7
1,43,Susceptible,20
1,60,Infected,11
1,53,Susceptible,3
1,30,Susceptible,12
1,32,Susceptible,23
1,40,Susceptible,1
1,62,Susceptible,1
1,52,Exposed,2
1,70,Susceptible,14
1,87,Susceptible,10
1,73,Susceptible,3
1,1,Infected,9
2,44,Exposed,24
2,11,Infected,6
2,78,Exposed,8
2,28,Infected,23
2,76,Infected,6
2,85,Infected,23
2,30,Susceptible,11
2,17,Infected,12
2,3,Infected,8
2,74,Infected,12
2,22,Infected,13
2,33,Infected,1
2,5,Susceptible,15
2,12,Infected,14
2,54,Exposed,7
2,88,Susceptible,18
2,38,Infected,10
2,16,Infected,18
2,10,Infected,10
2,20,Infected,1
2,4,Infected,16
2,32,Susceptible,19
2,0,Susceptible,21
2,47,Infected,0
2,37,Infected,14
2,23,Infected,11
2,63,Infected,20
2,56,Infected,16
2,57,Infected,15
2,51,Infected,23
2,70,Exposed,9
2,36,Susceptible,19
2,82,Infected,12
2,27,Exposed,16
2,60,Infected,16
2,25,Infected,20
2,46,Infected,1
2,8,Susceptible,22
2,77,Infected,14
2,75,Exposed,12
2,2,Susceptible,14
