Step,AgentID,State,DistrictID
0,0,Infected,10
0,1,Susceptible,10
0,2,Infected,16
0,3,Infected,13
0,4,Infected,4
0,5,Infected,14
0,6,Infected,3
0,7,Susceptible,16
0,8,Infected,24
0,9,Infected,12
0,10,Infected,12
0,11,Susceptible,8
0,12,Susceptible,18
0,13,Susceptible,16
0,14,Susceptible,19
0,15,Infected,12
0,16,Susceptible,24
0,17,Susceptible,11
0,18,Susceptible,11
0,19,Infected,1
0,20,Infected,2
0,21,Susceptible,9
0,22,Infected,20
0,23,Susceptible,3
0,24,Susceptible,18
0,25,Infected,24
0,26,Susceptible,11
0,27,Infected,2
0,28,Infected,4
0,29,Infected,20
0,30,Infected,12
0,31,Infected,4
0,32,Infected,19
0,33,Susceptible,14
0,34,Infected,17
0,35,Susceptible,19
0,36,Susceptible,18
0,37,Infected,18
0,38,Susceptible,14
0,39,Susceptible,14
0,40,Infected,0
0,41,Susceptible,10
0,42,Susceptible,23
0,43,Susceptible,15
0,44,Susceptible,7
0,45,Infected,11
0,46,Susceptible,23
0,47,Susceptible,7
0,48,Infected,20
0,49,Infected,12
0,50,Infected,6
0,51,Susceptible,15
0,52,Susceptible,11
0,53,Infected,6
0,54,Susceptible,5
0,55,Infected,10
0,56,Susceptible,19
0,57,Susceptible,3
0,58,Infected,22
0,59,Susceptible,11
0,60,Infected,0
0,61,Susceptible,3
0,62,Infected,21
0,63,Infected,14
0,64,Infected,8
0,65,Infected,0
0,66,Susceptible,5
0,67,Infected,14
0,68,Infected,23
0,69,Infected,9
0,70,Susceptible,10
0,71,Infected,23
0,72,Infected,10
0,73,Infected,17
0,74,Susceptible,16
0,75,Susceptible,6
0,76,Susceptible,6
0,77,Infected,9
0,78,Infected,22
0,79,Susceptible,17
0,80,Infected,1
0,81,Susceptible,9
0,82,Infected,7
0,83,Infected,23
0,84,Infected,0
0,85,Infected,18
0,86,Susceptible,22
0,87,Infected,16
0,88,Susceptible,3
0,89,Infected,20
1,5,Infected,22
1,41,Exposed,22
1,57,Exposed,9
1,73,Infected,1
1,48,Infected,9
1,17,Exposed,11
1,16,Susceptible,17
1,3,Infected,8
1,80,Infected,12
1,39,Exposed,16
1,82,Infected,15
