step,district_policies
1,"{0: {'lockdown': True, 'mask': True}, 1: {'lockdown': True, 'mask': True}, 2: {'lockdown': True, 'mask': True}, 3: {'lockdown': True, 'mask': True}, 4: {'lockdown': True, 'mask': True}, 5: {'lockdown': True, 'mask': True}, 6: {'lockdown': True, 'mask': True}, 7: {'lockdown': True, 'mask': True}, 8: {'lockdown': True, 'mask': True}, 9: {'lockdown': True, 'mask': True}, 10: {'lockdown': True, 'mask': True}, 11: {'lockdown': True, 'mask': True}, 12: {'lockdown': True, 'mask': True}, 13: {'lockdown': True, 'mask': True}, 14: {'lockdown': True, 'mask': True}, 15: {'lockdown': True, 'mask': True}, 16: {'lockdown': True, 'mask': True}, 17: {'lockdown': True, 'mask': True}, 18: {'lockdown': True, 'mask': True}, 19: {'lockdown': True, 'mask': True}, 20: {'lockdown': True, 'mask': True}, 21: {'lockdown': True, 'mask': True}, 22: {'lockdown': True, 'mask': True}, 23: {'lockdown': True, 'mask': True}, 24: {'lockdown': True, 'mask': True}}"
2,"{0: {'lockdown': True, 'mask': True}, 1: {'lockdown': True, 'mask': True}, 2: {'lockdown': True, 'mask': True}, 3: {'lockdown': True, 'mask': True}, 4: {'lockdown': True, 'mask': True}, 5: {'lockdown': True, 'mask': True}, 6: {'lockdown': True, 'mask': True}, 7: {'lockdown': True, 'mask': True}, 8: {'lockdown': True, 'mask': True}, 9: {'lockdown': True, 'mask': True}, 10: {'lockdown': True, 'mask': True}, 11: {'lockdown': True, 'mask': True}, 12: {'lockdown': True, 'mask': True}, 13: {'lockdown': True, 'mask': True}, 14: {'lockdown': True, 'mask': True}, 15: {'lockdown': True, 'mask': True}, 16: {'lockdown': True, 'mask': True}, 17: {'lockdown': True, 'mask': True}, 18: {'lockdown': True, 'mask': True}, 19: {'lockdown': True, 'mask': True}, 20: {'lockdown': True, 'mask': True}, 21: {'lockdown': True, 'mask': True}, 22: {'lockdown': True, 'mask': True}, 23: {'lockdown': True, 'mask': True}, 24: {'lockdown': True, 'mask': True}}"
3,"{0: {'lockdown': True, 'mask': True}, 1: {'lockdown': True, 'mask': True}, 2: {'lockdown': True, 'mask': True}, 3: {'lockdown': True, 'mask': True}, 4: {'lockdown': True, 'mask': True}, 5: {'lockdown': True, 'mask': True}, 6: {'lockdown': True, 'mask': True}, 7: {'lockdown': True, 'mask': True}, 8: {'lockdown': True, 'mask': True}, 9: {'lockdown': True, 'mask': True}, 10: {'lockdown': True, 'mask': True}, 11: {'lockdown': True, 'mask': True}, 12: {'lockdown': True, 'mask': True}, 13: {'lockdown': True, 'mask': True}, 14: {'lockdown': True, 'mask': True}, 15: {'lockdown': True, 'mask': True}, 16: {'lockdown': True, 'mask': True}, 17: {'lockdown': True, 'mask': True}, 18: {'lockdown': True, 'mask': True}, 19: {'lockdown': True, 'mask': True}, 20: {'lockdown': True, 'mask': True}, 21: {'lockdown': True, 'mask': True}, 22: {'lockdown': True, 'mask': True}, 23: {'lockdown': True, 'mask': True}, 24: {'lockdown': True, 'mask': True}}"
4,"{0: {'lockdown': True, 'mask': True}, 1: {'lockdown': True, 'mask': True}, 2: {'lockdown': True, 'mask': True}, 3: {'lockdown': True, 'mask': True}, 4: {'lockdown': True, 'mask': True}, 5: {'lockdown': True, 'mask': True}, 6: {'lockdown': True, 'mask': True}, 7: {'lockdown': True, 'mask': True}, 8: {'lockdown': True, 'mask': True}, 9: {'lockdown': True, 'mask': True}, 10: {'lockdown': True, 'mask': True}, 11: {'lockdown': True, 'mask': True}, 12: {'lockdown': True, 'mask': True}, 13: {'lockdown': True, 'mask': True}, 14: {'lockdown': True, 'mask': True}, 15: {'lockdown': True, 'mask': True}, 16: {'lockdown': True, 'mask': True}, 17: {'lockdown': True, 'mask': True}, 18: {'lockdown': True, 'mask': True}, 19: {'lockdown': True, 'mask': True}, 20: {'lockdown': True, 'mask': True}, 21: {'lockdown': True, 'mask': True}, 22: {'lockdown': True, 'mask': True}, 23: {'lockdown': True, 'mask': True}, 24: {'lockdown': True, 'mask': True}}"
5,"{0: {'lockdown': True, 'mask': True}, 1: {'lockdown': True, 'mask': True}, 2: {'lockdown': True, 'mask': True}, 3: {'lockdown': True, 'mask': True}, 4: {'lockdown': True, 'mask': True}, 5: {'lockdown': True, 'mask': True}, 6: {'lockdown': True, 'mask': True}, 7: {'lockdown': True, 'mask': True}, 8: {'lockdown': True, 'mask': True}, 9: {'lockdown': True, 'mask': True}, 10: {'lockdown': True, 'mask': True}, 11: {'lockdown': True, 'mask': True}, 12: {'lockdown': True, 'mask': True}, 13: {'lockdown': True, 'mask': True}, 14: {'lockdown': True, 'mask': True}, 15: {'lockdown': True, 'mask': True}, 16: {'lockdown': True, 'mask': True}, 17: {'lockdown': True, 'mask': True}, 18: {'lockdown': True, 'mask': True}, 19: {'lockdown': True, 'mask': True}, 20: {'lockdown': True, 'mask': True}, 21: {'lockdown': True, 'mask': True}, 22: {'lockdown': True, 'mask': True}, 23: {'lockdown': True, 'mask': True}, 24: {'lockdown': True, 'mask': True}}"
6,"{0: {'lockdown': True, 'mask': True}, 1: {'lockdown': True, 'mask': True}, 2: {'lockdown': True, 'mask': True}, 3: {'lockdown': True, 'mask': True}, 4: {'lockdown': True, 'mask': True}, 5: {'lockdown': True, 'mask': True}, 6: {'lockdown': True, 'mask': True}, 7: {'lockdown': True, 'mask': True}, 8: {'lockdown': True, 'mask': True}, 9: {'lockdown': True, 'mask': True}, 10: {'lockdown': True, 'mask': True}, 11: {'lockdown': True, 'mask': True}, 12: {'lockdown': True, 'mask': True}, 13: {'lockdown': True, 'mask': True}, 14: {'lockdown': True, 'mask': True}, 15: {'lockdown': True, 'mask': True}, 16: {'lockdown': True, 'mask': True}, 17: {'lockdown': True, 'mask': True}, 18: {'lockdown': True, 'mask': True}, 19: {'lockdown': True, 'mask': True}, 20: {'lockdown': True, 'mask': True}, 21: {'lockdown': True, 'mask': True}, 22: {'lockdown': True, 'mask': True}, 23: {'lockdown': True, 'mask': True}, 24: {'lockdown': True, 'mask': True}}"
7,"{0: {'lockdown': True, 'mask': True}, 1: {'lockdown': True, 'mask': True}, 2: {'lockdown': True, 'mask': True}, 3: {'lockdown': True, 'mask': True}, 4: {'lockdown': True, 'mask': True}, 5: {'lockdown': True, 'mask': True}, 6: {'lockdown': True, 'mask': True}, 7: {'lockdown': True, 'mask': True}, 8: {'lockdown': True, 'mask': True}, 9: {'lockdown': True, 'mask': True}, 10: {'lockdown': True, 'mask': True}, 11: {'lockdown': True, 'mask': True}, 12: {'lockdown': True, 'mask': True}, 13: {'lockdown': True, 'mask': True}, 14: {'lockdown': True, 'mask': True}, 15: {'lockdown': True, 'mask': True}, 16: {'lockdown': True, 'mask': True}, 17: {'lockdown': True, 'mask': True}, 18: {'lockdown': True, 'mask': True}, 19: {'lockdown': True, 'mask': True}, 20: {'lockdown': True, 'mask': True}, 21: {'lockdown': True, 'mask': True}, 22: {'lockdown': True, 'mask': True}, 23: {'lockdown': True, 'mask': True}, 24: {'lockdown': True, 'mask': True}}"
8,"{0: {'lockdown': True, 'mask': True}, 1: {'lockdown': True, 'mask': True}, 2: {'lockdown': True, 'mask': True}, 3: {'lockdown': True, 'mask': True}, 4: {'lockdown': True, 'mask': True}, 5: {'lockdown': True, 'mask': True}, 6: {'lockdown': True, 'mask': True}, 7: {'lockdown': True, 'mask': True}, 8: {'lockdown': True, 'mask': True}, 9: {'lockdown': True, 'mask': True}, 10: {'lockdown': True, 'mask': True}, 11: {'lockdown': True, 'mask': True}, 12: {'lockdown': True, 'mask': True}, 13: {'lockdown': True, 'mask': True}, 14: {'lockdown': True, 'mask': True}, 15: {'lockdown': True, 'mask': True}, 16: {'lockdown': True, 'mask': True}, 17: {'lockdown': True, 'mask': True}, 18: {'lockdown': True, 'mask': True}, 19: {'lockdown': True, 'mask': True}, 20: {'lockdown': True, 'mask': True}, 21: {'lockdown': True, 'mask': True}, 22: {'lockdown': True, 'mask': True}, 23: {'lockdown': True, 'mask': True}, 24: {'lockdown': True, 'mask': True}}"
9,"{0: {'lockdown': True, 'mask': True}, 1: {'lockdown': True, 'mask': True}, 2: {'lockdown': True, 'mask': True}, 3: {'lockdown': True, 'mask': True}, 4: {'lockdown': True, 'mask': True}, 5: {'lockdown': True, 'mask': True}, 6: {'lockdown': True, 'mask': True}, 7: {'lockdown': True, 'mask': True}, 8: {'lockdown': True, 'mask': True}, 9: {'lockdown': True, 'mask': True}, 10: {'lockdown': True, 'mask': True}, 11: {'lockdown': True, 'mask': True}, 12: {'lockdown': True, 'mask': True}, 13: {'lockdown': True, 'mask': True}, 14: {'lockdown': True, 'mask': True}, 15: {'lockdown': True, 'mask': True}, 16: {'lockdown': True, 'mask': True}, 17: {'lockdown': True, 'mask': True}, 18: {'lockdown': True, 'mask': True}, 19: {'lockdown': True, 'mask': True}, 20: {'lockdown': True, 'mask': True}, 21: {'lockdown': True, 'mask': True}, 22: {'lockdown': True, 'mask': True}, 23: {'lockdown': True, 'mask': True}, 24: {'lockdown': True, 'mask': True}}"
10,"{0: {'lockdown': True, 'mask': True}, 1: {'lockdown': True, 'mask': True}, 2: {'lockdown': True, 'mask': True}, 3: {'lockdown': True, 'mask': True}, 4: {'lockdown': True, 'mask': True}, 5: {'lockdown': True, 'mask': True}, 6: {'lockdown': True, 'mask': True}, 7: {'lockdown': True, 'mask': True}, 8: {'lockdown': True, 'mask': True}, 9: {'lockdown': True, 'mask': True}, 10: {'lockdown': True, 'mask': True}, 11: {'lockdown': True, 'mask': True}, 12: {'lockdown': True, 'mask': True}, 13: {'lockdown': True, 'mask': True}, 14: {'lockdown': True, 'mask': True}, 15: {'lockdown': True, 'mask': True}, 16: {'lockdown': True, 'mask': True}, 17: {'lockdown': True, 'mask': True}, 18: {'lockdown': True, 'mask': True}, 19: {'lockdown': True, 'mask': True}, 20: {'lockdown': True, 'mask': True}, 21: {'lockdown': True, 'mask': True}, 22: {'lockdown': True, 'mask': True}, 23: {'lockdown': True, 'mask': True}, 24: {'lockdown': True, 'mask': True}}"
