step,district_policies
1,"{0: {'lockdown': True, 'mask': False}, 1: {'lockdown': True, 'mask': False}, 2: {'lockdown': True, 'mask': False}, 3: {'lockdown': True, 'mask': False}, 4: {'lockdown': True, 'mask': False}, 5: {'lockdown': True, 'mask': False}, 6: {'lockdown': True, 'mask': False}, 7: {'lockdown': True, 'mask': False}, 8: {'lockdown': True, 'mask': False}, 9: {'lockdown': True, 'mask': False}, 10: {'lockdown': True, 'mask': False}, 11: {'lockdown': True, 'mask': False}, 12: {'lockdown': True, 'mask': False}, 13: {'lockdown': True, 'mask': False}, 14: {'lockdown': True, 'mask': False}, 15: {'lockdown': True, 'mask': False}, 16: {'lockdown': True, 'mask': False}, 17: {'lockdown': True, 'mask': False}, 18: {'lockdown': True, 'mask': False}, 19: {'lockdown': True, 'mask': False}, 20: {'lockdown': True, 'mask': False}, 21: {'lockdown': True, 'mask': False}, 22: {'lockdown': True, 'mask': False}, 23: {'lockdown': True, 'mask': False}, 24: {'lockdown': True, 'mask': False}}"
2,"{0: {'lockdown': True, 'mask': False}, 1: {'lockdown': True, 'mask': False}, 2: {'lockdown': True, 'mask': False}, 3: {'lockdown': True, 'mask': False}, 4: {'lockdown': True, 'mask': False}, 5: {'lockdown': True, 'mask': False}, 6: {'lockdown': True, 'mask': False}, 7: {'lockdown': True, 'mask': False}, 8: {'lockdown': True, 'mask': False}, 9: {'lockdown': True, 'mask': False}, 10: {'lockdown': True, 'mask': False}, 11: {'lockdown': True, 'mask': False}, 12: {'lockdown': True, 'mask': False}, 13: {'lockdown': True, 'mask': False}, 14: {'lockdown': True, 'mask': False}, 15: {'lockdown': True, 'mask': False}, 16: {'lockdown': True, 'mask': False}, 17: {'lockdown': True, 'mask': False}, 18: {'lockdown': True, 'mask': False}, 19: {'lockdown': True, 'mask': False}, 20: {'lockdown': True, 'mask': False}, 21: {'lockdown': True, 'mask': False}, 22: {'lockdown': True, 'mask': False}, 23: {'lockdown': True, 'mask': False}, 24: {'lockdown': True, 'mask': False}}"
3,"{0: {'lockdown': True, 'mask': False}, 1: {'lockdown': True, 'mask': False}, 2: {'lockdown': True, 'mask': False}, 3: {'lockdown': True, 'mask': False}, 4: {'lockdown': True, 'mask': False}, 5: {'lockdown': True, 'mask': False}, 6: {'lockdown': True, 'mask': False}, 7: {'lockdown': True, 'mask': False}, 8: {'lockdown': True, 'mask': False}, 9: {'lockdown': True, 'mask': False}, 10: {'lockdown': True, 'mask': False}, 11: {'lockdown': True, 'mask': False}, 12: {'lockdown': True, 'mask': False}, 13: {'lockdown': True, 'mask': False}, 14: {'lockdown': True, 'mask': False}, 15: {'lockdown': True, 'mask': False}, 16: {'lockdown': True, 'mask': False}, 17: {'lockdown': True, 'mask': False}, 18: {'lockdown': True, 'mask': False}, 19: {'lockdown': True, 'mask': False}, 20: {'lockdown': True, 'mask': False}, 21: {'lockdown': True, 'mask': False}, 22: {'lockdown': True, 'mask': False}, 23: {'lockdown': True, 'mask': False}, 24: {'lockdown': True, 'mask': False}}"
4,"{0: {'lockdown': True, 'mask': False}, 1: {'lockdown': True, 'mask': False}, 2: {'lockdown': True, 'mask': False}, 3: {'lockdown': True, 'mask': False}, 4: {'lockdown': True, 'mask': False}, 5: {'lockdown': True, 'mask': False}, 6: {'lockdown': True, 'mask': False}, 7: {'lockdown': True, 'mask': False}, 8: {'lockdown': True, 'mask': False}, 9: {'lockdown': True, 'mask': False}, 10: {'lockdown': True, 'mask': False}, 11: {'lockdown': True, 'mask': False}, 12: {'lockdown': True, 'mask': False}, 13: {'lockdown': True, 'mask': False}, 14: {'lockdown': True, 'mask': False}, 15: {'lockdown': True, 'mask': False}, 16: {'lockdown': True, 'mask': False}, 17: {'lockdown': True, 'mask': False}, 18: {'lockdown': True, 'mask': False}, 19: {'lockdown': True, 'mask': False}, 20: {'lockdown': True, 'mask': False}, 21: {'lockdown': True, 'mask': False}, 22: {'lockdown': True, 'mask': False}, 23: {'lockdown': True, 'mask': False}, 24: {'lockdown': True, 'mask': False}}"
5,"{0: {'lockdown': True, 'mask': False}, 1: {'lockdown': True, 'mask': False}, 2: {'lockdown': True, 'mask': False}, 3: {'lockdown': True, 'mask': False}, 4: {'lockdown': True, 'mask': False}, 5: {'lockdown': True, 'mask': False}, 6: {'lockdown': True, 'mask': False}, 7: {'lockdown': True, 'mask': False}, 8: {'lockdown': True, 'mask': False}, 9: {'lockdown': True, 'mask': False}, 10: {'lockdown': True, 'mask': False}, 11: {'lockdown': True, 'mask': False}, 12: {'lockdown': True, 'mask': False}, 13: {'lockdown': True, 'mask': False}, 14: {'lockdown': True, 'mask': False}, 15: {'lockdown': True, 'mask': False}, 16: {'lockdown': True, 'mask': False}, 17: {'lockdown': True, 'mask': False}, 18: {'lockdown': True, 'mask': False}, 19: {'lockdown': True, 'mask': False}, 20: {'lockdown': True, 'mask': False}, 21: {'lockdown': True, 'mask': False}, 22: {'lockdown': True, 'mask': False}, 23: {'lockdown': True, 'mask': False}, 24: {'lockdown': True, 'mask': False}}"
6,"{0: {'lockdown': True, 'mask': False}, 1: {'lockdown': True, 'mask': False}, 2: {'lockdown': True, 'mask': False}, 3: {'lockdown': True, 'mask': False}, 4: {'lockdown': True, 'mask': False}, 5: {'lockdown': True, 'mask': False}, 6: {'lockdown': True, 'mask': False}, 7: {'lockdown': True, 'mask': False}, 8: {'lockdown': True, 'mask': False}, 9: {'lockdown': True, 'mask': False}, 10: {'lockdown': True, 'mask': False}, 11: {'lockdown': True, 'mask': False}, 12: {'lockdown': True, 'mask': False}, 13: {'lockdown': True, 'mask': False}, 14: {'lockdown': True, 'mask': False}, 15: {'lockdown': True, 'mask': False}, 16: {'lockdown': True, 'mask': False}, 17: {'lockdown': True, 'mask': False}, 18: {'lockdown': True, 'mask': False}, 19: {'lockdown': True, 'mask': False}, 20: {'lockdown': True, 'mask': False}, 21: {'lockdown': True, 'mask': False}, 22: {'lockdown': True, 'mask': False}, 23: {'lockdown': True, 'mask': False}, 24: {'lockdown': True, 'mask': False}}"
7,"{0: {'lockdown': True, 'mask': False}, 1: {'lockdown': True, 'mask': False}, 2: {'lockdown': True, 'mask': False}, 3: {'lockdown': True, 'mask': False}, 4: {'lockdown': True, 'mask': False}, 5: {'lockdown': True, 'mask': False}, 6: {'lockdown': True, 'mask': False}, 7: {'lockdown': True, 'mask': False}, 8: {'lockdown': True, 'mask': False}, 9: {'lockdown': True, 'mask': False}, 10: {'lockdown': True, 'mask': False}, 11: {'lockdown': True, 'mask': False}, 12: {'lockdown': True, 'mask': False}, 13: {'lockdown': True, 'mask': False}, 14: {'lockdown': True, 'mask': False}, 15: {'lockdown': True, 'mask': False}, 16: {'lockdown': True, 'mask': False}, 17: {'lockdown': True, 'mask': False}, 18: {'lockdown': True, 'mask': False}, 19: {'lockdown': True, 'mask': False}, 20: {'lockdown': True, 'mask': False}, 21: {'lockdown': True, 'mask': False}, 22: {'lockdown': True, 'mask': False}, 23: {'lockdown': True, 'mask': False}, 24: {'lockdown': True, 'mask': False}}"
8,"{0: {'lockdown': True, 'mask': False}, 1: {'lockdown': True, 'mask': False}, 2: {'lockdown': True, 'mask': False}, 3: {'lockdown': True, 'mask': False}, 4: {'lockdown': True, 'mask': False}, 5: {'lockdown': True, 'mask': False}, 6: {'lockdown': True, 'mask': False}, 7: {'lockdown': True, 'mask': False}, 8: {'lockdown': True, 'mask': False}, 9: {'lockdown': True, 'mask': False}, 10: {'lockdown': True, 'mask': False}, 11: {'lockdown': True, 'mask': False}, 12: {'lockdown': True, 'mask': False}, 13: {'lockdown': True, 'mask': False}, 14: {'lockdown': True, 'mask': False}, 15: {'lockdown': True, 'mask': False}, 16: {'lockdown': True, 'mask': False}, 17: {'lockdown': True, 'mask': False}, 18: {'lockdown': True, 'mask': False}, 19: {'lockdown': True, 'mask': False}, 20: {'lockdown': True, 'mask': False}, 21: {'lockdown': True, 'mask': False}, 22: {'lockdown': True, 'mask': False}, 23: {'lockdown': True, 'mask': False}, 24: {'lockdown': True, 'mask': False}}"
9,"{0: {'lockdown': True, 'mask': False}, 1: {'lockdown': True, 'mask': False}, 2: {'lockdown': True, 'mask': False}, 3: {'lockdown': True, 'mask': False}, 4: {'lockdown': True, 'mask': False}, 5: {'lockdown': True, 'mask': False}, 6: {'lockdown': True, 'mask': False}, 7: {'lockdown': True, 'mask': False}, 8: {'lockdown': True, 'mask': False}, 9: {'lockdown': True, 'mask': False}, 10: {'lockdown': True, 'mask': False}, 11: {'lockdown': True, 'mask': False}, 12: {'lockdown': True, 'mask': False}, 13: {'lockdown': True, 'mask': False}, 14: {'lockdown': True, 'mask': False}, 15: {'lockdown': True, 'mask': False}, 16: {'lockdown': True, 'mask': False}, 17: {'lockdown': True, 'mask': False}, 18: {'lockdown': True, 'mask': False}, 19: {'lockdown': True, 'mask': False}, 20: {'lockdown': True, 'mask': False}, 21: {'lockdown': True, 'mask': False}, 22: {'lockdown': True, 'mask': False}, 23: {'lockdown': True, 'mask': False}, 24: {'lockdown': True, 'mask': False}}"
10,"{0: {'lockdown': True, 'mask': False}, 1: {'lockdown': True, 'mask': False}, 2: {'lockdown': True, 'mask': False}, 3: {'lockdown': True, 'mask': False}, 4: {'lockdown': True, 'mask': False}, 5: {'lockdown': True, 'mask': False}, 6: {'lockdown': True, 'mask': False}, 7: {'lockdown': True, 'mask': False}, 8: {'lockdown': True, 'mask': False}, 9: {'lockdown': True, 'mask': False}, 10: {'lockdown': True, 'mask': False}, 11: {'lockdown': True, 'mask': False}, 12: {'lockdown': True, 'mask': False}, 13: {'lockdown': True, 'mask': False}, 14: {'lockdown': True, 'mask': False}, 15: {'lockdown': True, 'mask': False}, 16: {'lockdown': True, 'mask': False}, 17: {'lockdown': True, 'mask': False}, 18: {'lockdown': True, 'mask': False}, 19: {'lockdown': True, 'mask': False}, 20: {'lockdown': True, 'mask': False}, 21: {'lockdown': True, 'mask': False}, 22: {'lockdown': True, 'mask': False}, 23: {'lockdown': True, 'mask': False}, 24: {'lockdown': True, 'mask': False}}"
