step,district_policies
1,"{0: {'lockdown': False, 'mask': False}, 1: {'lockdown': False, 'mask': False}, 2: {'lockdown': False, 'mask': False}, 3: {'lockdown': False, 'mask': False}, 4: {'lockdown': False, 'mask': False}, 5: {'lockdown': False, 'mask': False}, 6: {'lockdown': False, 'mask': False}, 7: {'lockdown': False, 'mask': False}, 8: {'lockdown': False, 'mask': False}, 9: {'lockdown': False, 'mask': False}, 10: {'lockdown': False, 'mask': False}, 11: {'lockdown': False, 'mask': False}, 12: {'lockdown': False, 'mask': False}, 13: {'lockdown': False, 'mask': False}, 14: {'lockdown': False, 'mask': False}, 15: {'lockdown': False, 'mask': False}, 16: {'lockdown': False, 'mask': False}, 17: {'lockdown': False, 'mask': False}, 18: {'lockdown': False, 'mask': False}, 19: {'lockdown': False, 'mask': False}, 20: {'lockdown': False, 'mask': False}, 21: {'lockdown': False, 'mask': False}, 22: {'lockdown': False, 'mask': False}, 23: {'lockdown': False, 'mask': False}, 24: {'lockdown': False, 'mask': False}}"
2,"{0: {'lockdown': False, 'mask': False}, 1: {'lockdown': False, 'mask': False}, 2: {'lockdown': False, 'mask': False}, 3: {'lockdown': False, 'mask': False}, 4: {'lockdown': False, 'mask': False}, 5: {'lockdown': False, 'mask': False}, 6: {'lockdown': False, 'mask': False}, 7: {'lockdown': False, 'mask': False}, 8: {'lockdown': False, 'mask': False}, 9: {'lockdown': False, 'mask': False}, 10: {'lockdown': False, 'mask': False}, 11: {'lockdown': False, 'mask': False}, 12: {'lockdown': False, 'mask': False}, 13: {'lockdown': False, 'mask': False}, 14: {'lockdown': False, 'mask': False}, 15: {'lockdown': False, 'mask': False}, 16: {'lockdown': False, 'mask': False}, 17: {'lockdown': False, 'mask': False}, 18: {'lockdown': False, 'mask': False}, 19: {'lockdown': False, 'mask': False}, 20: {'lockdown': False, 'mask': False}, 21: {'lockdown': False, 'mask': False}, 22: {'lockdown': False, 'mask': False}, 23: {'lockdown': False, 'mask': False}, 24: {'lockdown': False, 'mask': False}}"
3,"{0: {'lockdown': False, 'mask': False}, 1: {'lockdown': False, 'mask': False}, 2: {'lockdown': False, 'mask': False}, 3: {'lockdown': False, 'mask': False}, 4: {'lockdown': False, 'mask': False}, 5: {'lockdown': False, 'mask': False}, 6: {'lockdown': False, 'mask': False}, 7: {'lockdown': False, 'mask': False}, 8: {'lockdown': False, 'mask': False}, 9: {'lockdown': False, 'mask': False}, 10: {'lockdown': False, 'mask': False}, 11: {'lockdown': False, 'mask': False}, 12: {'lockdown': False, 'mask': False}, 13: {'lockdown': False, 'mask': False}, 14: {'lockdown': False, 'mask': False}, 15: {'lockdown': False, 'mask': False}, 16: {'lockdown': False, 'mask': False}, 17: {'lockdown': False, 'mask': False}, 18: {'lockdown': False, 'mask': False}, 19: {'lockdown': False, 'mask': False}, 20: {'lockdown': False, 'mask': False}, 21: {'lockdown': False, 'mask': False}, 22: {'lockdown': False, 'mask': False}, 23: {'lockdown': False, 'mask': False}, 24: {'lockdown': False, 'mask': False}}"
4,"{0: {'lockdown': False, 'mask': False}, 1: {'lockdown': False, 'mask': False}, 2: {'lockdown': False, 'mask': False}, 3: {'lockdown': False, 'mask': False}, 4: {'lockdown': False, 'mask': False}, 5: {'lockdown': False, 'mask': False}, 6: {'lockdown': False, 'mask': False}, 7: {'lockdown': False, 'mask': False}, 8: {'lockdown': False, 'mask': False}, 9: {'lockdown': False, 'mask': False}, 10: {'lockdown': False, 'mask': False}, 11: {'lockdown': False, 'mask': False}, 12: {'lockdown': False, 'mask': False}, 13: {'lockdown': False, 'mask': False}, 14: {'lockdown': False, 'mask': False}, 15: {'lockdown': False, 'mask': False}, 16: {'lockdown': False, 'mask': False}, 17: {'lockdown': False, 'mask': False}, 18: {'lockdown': False, 'mask': False}, 19: {'lockdown': False, 'mask': False}, 20: {'lockdown': False, 'mask': False}, 21: {'lockdown': False, 'mask': False}, 22: {'lockdown': False, 'mask': False}, 23: {'lockdown': False, 'mask': False}, 24: {'lockdown': False, 'mask': False}}"
5,"{0: {'lockdown': False, 'mask': False}, 1: {'lockdown': False, 'mask': False}, 2: {'lockdown': False, 'mask': False}, 3: {'lockdown': False, 'mask': False}, 4: {'lockdown': False, 'mask': False}, 5: {'lockdown': False, 'mask': False}, 6: {'lockdown': False, 'mask': False}, 7: {'lockdown': False, 'mask': False}, 8: {'lockdown': False, 'mask': False}, 9: {'lockdown': False, 'mask': False}, 10: {'lockdown': False, 'mask': False}, 11: {'lockdown': False, 'mask': False}, 12: {'lockdown': False, 'mask': False}, 13: {'lockdown': False, 'mask': False}, 14: {'lockdown': False, 'mask': False}, 15: {'lockdown': False, 'mask': False}, 16: {'lockdown': False, 'mask': False}, 17: {'lockdown': False, 'mask': False}, 18: {'lockdown': False, 'mask': False}, 19: {'lockdown': False, 'mask': False}, 20: {'lockdown': False, 'mask': False}, 21: {'lockdown': False, 'mask': False}, 22: {'lockdown': False, 'mask': False}, 23: {'lockdown': False, 'mask': False}, 24: {'lockdown': False, 'mask': False}}"
6,"{0: {'lockdown': False, 'mask': False}, 1: {'lockdown': False, 'mask': False}, 2: {'lockdown': False, 'mask': False}, 3: {'lockdown': False, 'mask': False}, 4: {'lockdown': False, 'mask': False}, 5: {'lockdown': False, 'mask': False}, 6: {'lockdown': False, 'mask': False}, 7: {'lockdown': False, 'mask': False}, 8: {'lockdown': False, 'mask': False}, 9: {'lockdown': False, 'mask': False}, 10: {'lockdown': False, 'mask': False}, 11: {'lockdown': False, 'mask': False}, 12: {'lockdown': False, 'mask': False}, 13: {'lockdown': False, 'mask': False}, 14: {'lockdown': False, 'mask': False}, 15: {'lockdown': False, 'mask': False}, 16: {'lockdown': False, 'mask': False}, 17: {'lockdown': False, 'mask': False}, 18: {'lockdown': False, 'mask': False}, 19: {'lockdown': False, 'mask': False}, 20: {'lockdown': False, 'mask': False}, 21: {'lockdown': False, 'mask': False}, 22: {'lockdown': False, 'mask': False}, 23: {'lockdown': False, 'mask': False}, 24: {'lockdown': False, 'mask': False}}"
7,"{0: {'lockdown': False, 'mask': False}, 1: {'lockdown': False, 'mask': False}, 2: {'lockdown': False, 'mask': False}, 3: {'lockdown': False, 'mask': False}, 4: {'lockdown': False, 'mask': False}, 5: {'lockdown': False, 'mask': False}, 6: {'lockdown': False, 'mask': False}, 7: {'lockdown': False, 'mask': False}, 8: {'lockdown': False, 'mask': False}, 9: {'lockdown': False, 'mask': False}, 10: {'lockdown': False, 'mask': False}, 11: {'lockdown': False, 'mask': False}, 12: {'lockdown': False, 'mask': False}, 13: {'lockdown': False, 'mask': False}, 14: {'lockdown': False, 'mask': False}, 15: {'lockdown': False, 'mask': False}, 16: {'lockdown': False, 'mask': False}, 17: {'lockdown': False, 'mask': False}, 18: {'lockdown': False, 'mask': False}, 19: {'lockdown': False, 'mask': False}, 20: {'lockdown': False, 'mask': False}, 21: {'lockdown': False, 'mask': False}, 22: {'lockdown': False, 'mask': False}, 23: {'lockdown': False, 'mask': False}, 24: {'lockdown': False, 'mask': False}}"
8,"{0: {'lockdown': False, 'mask': False}, 1: {'lockdown': False, 'mask': False}, 2: {'lockdown': False, 'mask': False}, 3: {'lockdown': False, 'mask': False}, 4: {'lockdown': False, 'mask': False}, 5: {'lockdown': False, 'mask': False}, 6: {'lockdown': False, 'mask': False}, 7: {'lockdown': False, 'mask': False}, 8: {'lockdown': False, 'mask': False}, 9: {'lockdown': False, 'mask': False}, 10: {'lockdown': False, 'mask': False}, 11: {'lockdown': False, 'mask': False}, 12: {'lockdown': False, 'mask': False}, 13: {'lockdown': False, 'mask': False}, 14: {'lockdown': False, 'mask': False}, 15: {'lockdown': False, 'mask': False}, 16: {'lockdown': False, 'mask': False}, 17: {'lockdown': False, 'mask': False}, 18: {'lockdown': False, 'mask': False}, 19: {'lockdown': False, 'mask': False}, 20: {'lockdown': False, 'mask': False}, 21: {'lockdown': False, 'mask': False}, 22: {'lockdown': False, 'mask': False}, 23: {'lockdown': False, 'mask': False}, 24: {'lockdown': False, 'mask': False}}"
9,"{0: {'lockdown': False, 'mask': False}, 1: {'lockdown': False, 'mask': False}, 2: {'lockdown': False, 'mask': False}, 3: {'lockdown': False, 'mask': False}, 4: {'lockdown': False, 'mask': False}, 5: {'lockdown': False, 'mask': False}, 6: {'lockdown': False, 'mask': False}, 7: {'lockdown': False, 'mask': False}, 8: {'lockdown': False, 'mask': False}, 9: {'lockdown': False, 'mask': False}, 10: {'lockdown': False, 'mask': False}, 11: {'lockdown': False, 'mask': False}, 12: {'lockdown': False, 'mask': False}, 13: {'lockdown': False, 'mask': False}, 14: {'lockdown': False, 'mask': False}, 15: {'lockdown': False, 'mask': False}, 16: {'lockdown': False, 'mask': False}, 17: {'lockdown': False, 'mask': False}, 18: {'lockdown': False, 'mask': False}, 19: {'lockdown': False, 'mask': False}, 20: {'lockdown': False, 'mask': False}, 21: {'lockdown': False, 'mask': False}, 22: {'lockdown': False, 'mask': False}, 23: {'lockdown': False, 'mask': False}, 24: {'lockdown': False, 'mask': False}}"
10,"{0: {'lockdown': False, 'mask': False}, 1: {'lockdown': False, 'mask': False}, 2: {'lockdown': False, 'mask': False}, 3: {'lockdown': False, 'mask': False}, 4: {'lockdown': False, 'mask': False}, 5: {'lockdown': False, 'mask': False}, 6: {'lockdown': False, 'mask': False}, 7: {'lockdown': False, 'mask': False}, 8: {'lockdown': False, 'mask': False}, 9: {'lockdown': False, 'mask': False}, 10: {'lockdown': False, 'mask': False}, 11: {'lockdown': False, 'mask': False}, 12: {'lockdown': False, 'mask': False}, 13: {'lockdown': False, 'mask': False}, 14: {'lockdown': False, 'mask': False}, 15: {'lockdown': False, 'mask': False}, 16: {'lockdown': False, 'mask': False}, 17: {'lockdown': False, 'mask': False}, 18: {'lockdown': False, 'mask': False}, 19: {'lockdown': False, 'mask': False}, 20: {'lockdown': False, 'mask': False}, 21: {'lockdown': False, 'mask': False}, 22: {'lockdown': False, 'mask': False}, 23: {'lockdown': False, 'mask': False}, 24: {'lockdown': False, 'mask': False}}"
