time,status,district_id,policy_type
16,initiate,0,lockdown
16,initiate,0,mask
16,initiate,1,lockdown
16,initiate,1,mask
16,initiate,2,lockdown
16,initiate,2,mask
16,initiate,3,lockdown
16,initiate,3,mask
16,initiate,4,lockdown
16,initiate,4,mask
16,initiate,5,lockdown
16,initiate,5,mask
16,initiate,7,lockdown
16,initiate,7,mask
16,initiate,8,lockdown
16,initiate,8,mask
16,initiate,10,lockdown
16,initiate,10,mask
16,initiate,11,lockdown
16,initiate,11,mask
16,initiate,12,lockdown
16,initiate,12,mask
16,initiate,14,lockdown
16,initiate,14,mask
16,initiate,15,lockdown
16,initiate,15,mask
16,initiate,17,lockdown
16,initiate,17,mask
16,initiate,18,lockdown
16,initiate,18,mask
16,initiate,20,lockdown
16,initiate,20,mask
16,initiate,21,lockdown
16,initiate,21,mask
16,initiate,24,lockdown
16,initiate,24,mask
17,implemented,0,lockdown
17,implemented,0,mask
17,implemented,1,lockdown
17,implemented,1,mask
17,implemented,2,lockdown
17,implemented,2,mask
17,implemented,3,lockdown
17,implemented,3,mask
17,implemented,4,lockdown
17,implemented,4,mask
17,implemented,5,lockdown
17,implemented,5,mask
17,initiate,6,lockdown
17,initiate,6,mask
17,implemented,7,lockdown
17,implemented,7,mask
17,implemented,8,lockdown
17,implemented,8,mask
17,initiate,9,lockdown
17,initiate,9,mask
17,implemented,10,lockdown
17,implemented,10,mask
17,implemented,11,lockdown
17,implemented,11,mask
17,implemented,12,lockdown
17,implemented,12,mask
17,initiate,13,lockdown
17,initiate,13,mask
17,implemented,14,lockdown
17,implemented,14,mask
17,implemented,15,lockdown
17,implemented,15,mask
17,initiate,16,lockdown
17,initiate,16,mask
17,implemented,17,lockdown
17,implemented,17,mask
17,implemented,18,lockdown
17,implemented,18,mask
17,initiate,19,lockdown
17,initiate,19,mask
17,implemented,20,lockdown
17,implemented,20,mask
17,implemented,21,lockdown
17,implemented,21,mask
17,initiate,22,lockdown
17,initiate,22,mask
17,initiate,23,lockdown
17,initiate,23,mask
17,implemented,24,lockdown
17,implemented,24,mask
18,implemented,0,lockdown
18,implemented,0,mask
18,implemented,1,lockdown
18,implemented,1,mask
18,implemented,2,lockdown
18,implemented,2,mask
18,implemented,3,lockdown
18,implemented,3,mask
18,implemented,4,lockdown
18,implemented,4,mask
18,implemented,5,lockdown
18,implemented,5,mask
18,implemented,6,lockdown
18,implemented,6,mask
18,implemented,7,lockdown
18,implemented,7,mask
18,implemented,8,lockdown
18,implemented,8,mask
18,implemented,9,lockdown
18,implemented,9,mask
18,implemented,10,lockdown
