,Susceptible,Exposed,Infected,Recovered,Dead
0,40,0,50,0,0
1,40,0,50,0,0
2,40,0,50,0,0
3,40,0,50,0,0
4,40,0,50,0,0
5,40,0,50,0,0
6,40,0,50,0,0
7,40,0,50,0,0
8,40,0,50,0,0
9,40,0,50,0,0
10,40,0,50,0,0
11,40,0,50,0,0
12,40,0,50,0,0
13,40,0,50,0,0
14,40,0,50,0,0
15,40,0,50,0,0
16,40,0,50,0,0
17,40,0,50,0,0
18,40,0,50,0,0
19,40,0,50,0,0
20,40,0,50,0,0
21,40,0,50,0,0
22,40,0,50,0,0
23,40,0,50,0,0
24,40,0,50,0,0
25,40,0,50,0,0
26,40,0,50,0,0
27,40,0,50,0,0
28,40,0,50,0,0
29,40,0,50,0,0
30,40,0,50,0,0
31,40,0,50,0,0
32,40,0,50,0,0
33,40,0,50,0,0
34,40,0,50,0,0
35,40,0,50,0,0
36,40,0,50,0,0
37,40,0,50,0,0
38,40,0,50,0,0
39,40,0,50,0,0
40,40,0,50,0,0
41,40,0,50,0,0
42,40,0,50,0,0
43,40,0,50,0,0
44,40,0,50,0,0
45,40,0,50,0,0
46,40,0,50,0,0
47,40,0,50,0,0
48,40,0,50,0,0
49,40,0,50,0,0
50,40,0,50,0,0
51,40,0,0,12,38
52,40,0,0,12,38
53,40,0,0,12,38
54,40,0,0,12,38
55,40,0,0,12,38
56,40,0,0,12,38
57,40,0,0,12,38
58,40,0,0,12,38
59,40,0,0,12,38
60,40,0,0,12,38
61,40,0,0,12,38
62,40,0,0,12,38
63,40,0,0,12,38
64,40,0,0,12,38
65,40,0,0,12,38
66,40,0,0,12,38
67,40,0,0,12,38
68,40,0,0,12,38
69,40,0,0,12,38
70,40,0,0,12,38
71,40,0,0,12,38
72,40,0,0,12,38
73,40,0,0,12,38
74,40,0,0,12,38
75,40,0,0,12,38
76,40,0,0,12,38
77,40,0,0,12,38
78,40,0,0,12,38
79,40,0,0,12,38
80,40,0,0,12,38
81,40,0,0,12,38
82,40,0,0,12,38
83,40,0,0,12,38
84,40,0,0,12,38
85,40,0,0,12,38
86,40,0,0,12,38
87,40,0,0,12,38
88,40,0,0,12,38
89,40,0,0,12,38
90,40,0,0,12,38
91,40,0,0,12,38
92,40,0,0,12,38
93,40,0,0,12,38
94,40,0,0,12,38
95,40,0,0,12,38
96,40,0,0,12,38
97,40,0,0,12,38
98,40,0,0,12,38
99,40,0,0,12,38
100,40,0,0,12,38
101,40,0,0,12,38
102,40,0,0,12,38
103,40,0,0,12,38
104,40,0,0,12,38
105,40,0,0,12,38
106,40,0,0,12,38
107,40,0,0,12,38
108,40,0,0,12,38
109,40,0,0,12,38
110,40,0,0,12,38
111,40,0,0,12,38
