,Susceptible,Exposed,Infected,Recovered,Dead
0,40,0,50,0,0
1,40,0,50,0,0
2,40,0,50,0,0
3,40,0,50,0,0
4,40,0,50,0,0
5,40,0,50,0,0
6,40,0,50,0,0
7,40,0,50,0,0
8,40,0,50,0,0
9,40,0,50,0,0
10,40,0,50,0,0
11,40,0,50,0,0
12,40,0,50,0,0
13,40,0,50,0,0
14,40,0,50,0,0
15,40,0,50,0,0
16,40,0,50,0,0
17,40,0,50,0,0
18,40,0,50,0,0
19,40,0,50,0,0
20,40,0,50,0,0
21,40,0,50,0,0
22,40,0,50,0,0
23,40,0,50,0,0
24,40,0,50,0,0
25,40,0,50,0,0
26,40,0,50,0,0
27,40,0,50,0,0
28,40,0,50,0,0
29,40,0,50,0,0
30,40,0,50,0,0
31,40,0,50,0,0
32,40,0,50,0,0
33,40,0,50,0,0
34,40,0,50,0,0
35,40,0,50,0,0
36,40,0,50,0,0
37,40,0,50,0,0
38,40,0,50,0,0
39,40,0,50,0,0
40,40,0,50,0,0
41,40,0,50,0,0
42,40,0,50,0,0
43,40,0,50,0,0
44,40,0,50,0,0
45,40,0,50,0,0
46,40,0,50,0,0
47,40,0,50,0,0
48,40,0,50,0,0
49,40,0,50,0,0
50,40,0,50,0,0
51,40,0,0,14,36
52,40,0,0,14,36
53,40,0,0,14,36
54,40,0,0,14,36
55,40,0,0,14,36
56,40,0,0,14,36
57,40,0,0,14,36
58,40,0,0,14,36
59,40,0,0,14,36
60,40,0,0,14,36
61,40,0,0,14,36
62,40,0,0,14,36
63,40,0,0,14,36
64,40,0,0,14,36
65,40,0,0,14,36
66,40,0,0,14,36
67,40,0,0,14,36
68,40,0,0,14,36
69,40,0,0,14,36
70,40,0,0,14,36
71,40,0,0,14,36
72,40,0,0,14,36
73,40,0,0,14,36
74,40,0,0,14,36
75,40,0,0,14,36
76,40,0,0,14,36
77,40,0,0,14,36
78,40,0,0,14,36
79,40,0,0,14,36
80,40,0,0,14,36
81,40,0,0,14,36
82,40,0,0,14,36
83,40,0,0,14,36
84,40,0,0,14,36
85,40,0,0,14,36
86,40,0,0,14,36
87,40,0,0,14,36
88,40,0,0,14,36
89,40,0,0,14,36
90,40,0,0,14,36
91,40,0,0,14,36
92,40,0,0,14,36
93,40,0,0,14,36
94,40,0,0,14,36
95,40,0,0,14,36
96,40,0,0,14,36
97,40,0,0,14,36
98,40,0,0,14,36
99,40,0,0,14,36
100,40,0,0,14,36
101,40,0,0,14,36
102,40,0,0,14,36
103,40,0,0,14,36
104,40,0,0,14,36
105,40,0,0,14,36
106,40,0,0,14,36
107,40,0,0,14,36
108,40,0,0,14,36
109,40,0,0,14,36
110,40,0,0,14,36
111,40,0,0,14,36
