,Susceptible,Exposed,Infected,Recovered,Dead
0,40,0,50,0,0
1,35,5,50,0,0
2,30,10,50,0,0
3,23,17,50,0,0
4,21,19,50,0,0
5,19,21,50,0,0
6,16,24,50,0,0
7,14,26,50,0,0
8,13,27,50,0,0
9,12,28,50,0,0
10,11,29,50,0,0
11,10,30,50,0,0
12,10,30,50,0,0
13,10,30,50,0,0
14,9,31,50,0,0
15,7,33,50,0,0
16,7,28,55,0,0
17,6,24,60,0,0
18,6,17,67,0,0
19,4,17,69,0,0
20,3,16,71,0,0
21,2,14,74,0,0
22,2,12,76,0,0
23,2,11,77,0,0
24,2,10,78,0,0
25,2,9,79,0,0
26,2,8,80,0,0
27,2,8,80,0,0
28,2,8,80,0,0
29,2,7,81,0,0
30,2,5,83,0,0
31,2,5,83,0,0
32,2,4,84,0,0
33,2,4,84,0,0
34,2,2,86,0,0
35,1,2,87,0,0
36,1,1,88,0,0
37,1,1,88,0,0
38,0,2,88,0,0
39,0,2,88,0,0
40,0,2,88,0,0
41,0,2,88,0,0
42,0,2,88,0,0
43,0,2,88,0,0
44,0,2,88,0,0
45,0,2,88,0,0
46,0,2,88,0,0
47,0,2,88,0,0
48,0,2,88,0,0
49,0,2,88,0,0
50,0,1,89,0,0
51,0,1,34,17,38
52,0,1,29,20,40
53,0,1,23,23,43
54,0,1,21,24,44
55,0,2,19,24,45
56,0,2,16,25,47
57,0,3,14,24,49
58,0,3,13,25,49
59,0,5,12,24,49
60,0,5,11,24,50
61,0,5,10,25,50
62,0,5,10,25,50
63,0,5,10,25,50
64,0,6,9,24,51
65,0,6,7,24,53
66,0,6,7,24,53
67,0,6,6,25,53
68,0,5,7,25,53
69,0,5,5,25,55
70,0,4,5,25,56
71,0,4,4,25,57
72,0,3,5,25,57
73,0,3,5,25,57
74,0,1,7,25,57
75,0,2,7,24,57
76,0,2,7,24,57
77,0,2,7,24,57
78,0,2,7,24,57
79,0,1,8,24,57
80,0,1,8,24,57
81,0,1,8,24,57
82,0,1,8,24,57
83,0,2,8,23,57
84,0,3,8,22,57
85,0,3,7,22,58
86,0,3,7,22,58
87,0,3,7,22,58
88,0,3,6,22,59
89,0,3,6,22,59
90,0,2,7,22,59
91,0,2,7,22,59
92,0,3,7,21,59
93,0,3,7,21,59
94,0,3,7,21,59
95,0,3,7,21,59
96,0,3,7,21,59
97,0,3,7,21,59
98,0,2,8,21,59
99,0,1,9,21,59
100,0,1,9,21,59
101,0,2,9,20,59
102,0,2,9,20,59
103,0,2,8,20,60
104,0,2,8,20,60
105,0,2,7,20,61
106,0,2,7,20,61
107,0,1,7,21,61
108,0,1,7,21,61
109,0,1,5,21,63
110,0,2,5,20,63
111,0,2,5,20,63
112,0,3,5,19,63
113,0,4,5,18,63
114,0,4,4,18,64
115,0,4,4,18,64
116,0,3,5,18,64
117,0,3,5,18,64
118,0,3,5,18,64
119,0,3,5,18,64
120,0,3,5,18,64
121,0,3,5,18,64
122,0,3,5,18,64
123,0,3,5,18,64
124,0,3,5,18,64
125,0,2,5,18,65
126,0,2,5,18,65
127,0,1,6,18,65
128,0,0,7,18,65
129,0,0,7,18,65
130,0,0,7,18,65
131,0,0,7,18,65
132,0,0,7,18,65
133,0,0,6,19,65
134,0,0,5,19,66
135,0,0,5,19,66
136,0,0,5,19,66
137,0,0,5,19,66
138,0,0,5,19,66
139,0,0,5,19,66
140,0,0,5,19,66
141,0,0,5,19,66
142,0,0,4,19,67
143,0,0,4,19,67
144,0,0,4,19,67
145,0,0,4,19,67
146,0,0,4,19,67
147,0,0,4,19,67
148,0,0,4,19,67
149,0,0,4,19,67
150,0,0,4,19,67
151,0,0,3,19,68
152,0,0,3,19,68
153,0,1,3,18,68
154,0,1,3,18,68
155,0,1,3,18,68
156,0,1,3,18,68
157,0,1,3,18,68
158,0,1,3,18,68
159,0,1,3,18,68
160,0,1,2,19,68
161,0,1,2,19,68
162,0,1,1,20,68
163,0,1,0,20,69
164,0,1,0,20,69
165,0,1,0,20,69
166,0,1,0,20,69
167,0,1,0,20,69
168,0,0,1,20,69
169,0,0,1,20,69
170,0,0,1,20,69
171,0,0,1,20,69
172,0,0,1,20,69
173,0,0,1,20,69
174,0,0,1,20,69
175,0,0,1,20,69
176,0,0,1,20,69
177,0,0,1,20,69
178,0,0,1,20,69
179,0,0,1,20,69
180,0,0,1,20,69
181,0,0,1,20,69
182,0,0,1,20,69
183,0,0,1,20,69
184,0,0,1,20,69
185,0,0,1,20,69
186,0,0,1,20,69
187,0,0,1,20,69
188,0,0,1,20,69
189,0,0,1,20,69
190,0,0,1,20,69
191,0,0,1,20,69
192,0,0,1,20,69
193,0,0,1,20,69
194,0,0,1,20,69
195,0,0,1,20,69
196,0,0,1,20,69
197,0,0,1,20,69
198,0,0,1,20,69
199,0,0,1,20,69
200,0,0,1,20,69
201,0,0,1,20,69
202,0,0,1,20,69
203,0,0,0,20,70
204,0,0,0,20,70
205,0,0,0,20,70
206,0,0,0,20,70
207,0,0,0,20,70
208,0,0,0,20,70
209,0,0,0,20,70
210,0,0,0,20,70
211,0,0,0,20,70
212,0,0,0,20,70
213,0,0,0,20,70
214,0,0,0,20,70
215,0,0,0,20,70
216,0,0,0,20,70
217,0,0,0,20,70
218,0,0,0,20,70
219,0,0,0,20,70
220,0,0,0,20,70
221,0,0,0,20,70
222,0,0,0,20,70
223,0,0,0,20,70
224,0,0,0,20,70
