,Susceptible,Exposed,Infected,Recovered,Dead
0,750,0,50,0,0
1,510,240,50,0,0
2,359,391,50,0,0
3,268,482,50,0,0
4,198,552,50,0,0
5,161,589,50,0,0
6,116,634,50,0,0
7,90,660,50,0,0
8,77,673,50,0,0
9,63,687,50,0,0
10,53,697,50,0,0
11,40,710,50,0,0
12,37,713,50,0,0
13,31,719,50,0,0
14,23,727,50,0,0
15,18,732,50,0,0
16,11,499,290,0,0
17,9,350,441,0,0
18,8,260,532,0,0
19,7,191,602,0,0
20,5,156,639,0,0
21,4,112,684,0,0
22,4,86,710,0,0
23,4,73,723,0,0
24,4,59,737,0,0
25,4,49,747,0,0
26,4,36,760,0,0
27,4,33,763,0,0
28,4,27,769,0,0
29,4,19,777,0,0
30,4,14,782,0,0
31,4,7,789,0,0
32,4,5,791,0,0
33,4,4,792,0,0
34,3,4,793,0,0
35,3,2,795,0,0
36,3,1,796,0,0
37,1,3,796,0,0
38,1,3,796,0,0
39,1,3,796,0,0
40,1,3,796,0,0
41,1,3,796,0,0
42,1,3,796,0,0
43,1,3,796,0,0
44,1,3,796,0,0
45,1,3,796,0,0
46,1,3,796,0,0
47,1,3,796,0,0
48,1,3,796,0,0
49,1,2,797,0,0
50,1,2,797,0,0
51,1,2,507,85,205
52,1,1,358,138,302
53,0,3,267,171,359
54,0,3,197,185,415
55,0,3,160,195,442
56,0,3,115,206,476
57,0,4,89,216,491
58,0,4,76,219,501
59,0,5,62,222,511
60,0,5,52,224,519
61,0,5,39,228,528
62,0,5,36,229,530
63,0,5,30,231,534
64,0,5,22,234,539
65,0,5,17,237,541
66,0,5,10,240,545
67,0,4,9,241,546
68,0,2,10,242,546
69,0,2,9,242,547
70,0,2,7,242,549
71,0,2,6,243,549
72,0,1,7,243,549
73,0,1,7,243,549
74,0,0,8,243,549
75,0,0,8,243,549
76,0,0,8,243,549
77,0,0,8,243,549
78,0,0,8,243,549
79,0,1,8,242,549
80,0,1,8,242,549
81,0,1,8,242,549
82,0,1,8,242,549
83,0,1,8,242,549
84,0,1,7,242,550
85,0,1,7,242,550
86,0,1,7,242,550
87,0,1,5,243,551
88,0,1,5,243,551
89,0,1,5,243,551
90,0,1,5,243,551
91,0,1,5,243,551
92,0,1,5,243,551
93,0,1,5,243,551
94,0,0,6,243,551
95,0,0,6,243,551
96,0,0,6,243,551
97,0,0,6,243,551
98,0,0,6,243,551
99,0,0,6,243,551
100,0,0,6,243,551
101,0,0,6,243,551
102,0,0,5,244,551
103,0,0,3,244,553
104,0,0,3,244,553
105,0,0,3,244,553
106,0,0,3,244,553
107,0,0,2,245,553
108,0,0,2,245,553
109,0,0,1,245,554
110,0,0,1,245,554
111,0,0,1,245,554
112,0,0,1,245,554
113,0,0,1,245,554
114,0,0,1,245,554
115,0,0,1,245,554
116,0,0,1,245,554
117,0,0,1,245,554
118,0,0,1,245,554
119,0,0,1,245,554
120,0,0,1,245,554
121,0,0,1,245,554
122,0,0,1,245,554
123,0,0,1,245,554
124,0,0,1,245,554
125,0,0,1,245,554
126,0,0,1,245,554
127,0,0,1,245,554
128,0,0,1,245,554
129,0,0,0,245,555
130,0,0,0,245,555
131,0,0,0,245,555
132,0,0,0,245,555
133,0,0,0,245,555
134,0,0,0,245,555
135,0,0,0,245,555
136,0,0,0,245,555
137,0,0,0,245,555
138,0,0,0,245,555
139,0,0,0,245,555
140,0,0,0,245,555
141,0,0,0,245,555
142,0,0,0,245,555
143,0,0,0,245,555
144,0,0,0,245,555
145,0,0,0,245,555
146,0,0,0,245,555
147,0,0,0,245,555
148,0,0,0,245,555
149,0,0,0,245,555
150,0,0,0,245,555
151,0,0,0,245,555
152,0,0,0,245,555
153,0,0,0,245,555
154,0,0,0,245,555
155,0,0,0,245,555
156,0,0,0,245,555
157,0,0,0,245,555
158,0,0,0,245,555
159,0,0,0,245,555
160,0,0,0,245,555
161,0,0,0,245,555
162,0,0,0,245,555
163,0,0,0,245,555
164,0,0,0,245,555
165,0,0,0,245,555
166,0,0,0,245,555
167,0,0,0,245,555
168,0,0,0,245,555
169,0,0,0,245,555
170,0,0,0,245,555
171,0,0,0,245,555
172,0,0,0,245,555
173,0,0,0,245,555
174,0,0,0,245,555
175,0,0,0,245,555
176,0,0,0,245,555
177,0,0,0,245,555
178,0,0,0,245,555
179,0,0,0,245,555
180,0,0,0,245,555
181,0,0,0,245,555
182,0,0,0,245,555
183,0,0,0,245,555
184,0,0,0,245,555
185,0,0,0,245,555
186,0,0,0,245,555
