,Susceptible,Exposed,Infected,Recovered,Dead
0,750,0,50,0,0
1,512,238,50,0,0
2,349,401,50,0,0
3,246,504,50,0,0
4,186,564,50,0,0
5,147,603,50,0,0
6,115,635,50,0,0
7,85,665,50,0,0
8,77,673,50,0,0
9,65,685,50,0,0
10,48,702,50,0,0
11,37,713,50,0,0
12,35,715,50,0,0
13,31,719,50,0,0
14,23,727,50,0,0
15,17,733,50,0,0
16,10,502,288,0,0
17,3,346,451,0,0
18,0,246,554,0,0
19,0,186,614,0,0
20,0,147,653,0,0
21,0,115,685,0,0
22,0,85,715,0,0
23,0,77,723,0,0
24,0,65,735,0,0
25,0,48,752,0,0
26,0,37,763,0,0
27,0,35,765,0,0
28,0,31,769,0,0
29,0,23,777,0,0
30,0,17,783,0,0
31,0,10,790,0,0
32,0,3,797,0,0
33,0,0,800,0,0
34,0,0,800,0,0
35,0,0,800,0,0
36,0,0,800,0,0
37,0,0,800,0,0
38,0,0,800,0,0
39,0,0,800,0,0
40,0,0,800,0,0
41,0,0,800,0,0
42,0,0,800,0,0
43,0,0,800,0,0
44,0,0,800,0,0
45,0,0,800,0,0
46,0,0,800,0,0
47,0,0,800,0,0
48,0,0,800,0,0
49,0,0,800,0,0
50,0,0,800,0,0
51,0,0,512,78,210
52,0,22,349,107,322
53,0,45,246,111,398
54,0,69,186,107,438
55,0,83,147,103,467
56,0,89,115,104,492
57,0,98,85,105,512
58,0,100,77,105,518
59,0,104,65,106,525
60,0,107,48,106,539
61,0,111,37,104,548
62,0,114,35,101,550
63,0,116,31,99,554
64,0,119,23,100,558
65,0,121,17,99,563
66,0,121,10,101,568
67,0,100,25,102,573
68,0,81,45,99,575
69,0,60,69,96,575
70,0,53,83,89,575
71,0,56,89,80,575
72,0,53,98,74,575
73,0,57,100,68,575
74,0,64,104,57,575
75,0,67,107,51,575
76,0,64,111,50,575
77,0,66,114,45,575
78,0,69,116,40,575
79,0,66,119,40,575
80,0,68,121,36,575
81,0,72,121,32,575
82,0,76,122,27,575
83,0,72,126,27,575
84,0,72,129,24,575
85,0,67,136,22,575
86,0,63,145,17,575
87,0,58,151,16,575
88,0,53,157,15,575
89,0,44,168,13,575
90,0,38,174,13,575
91,0,38,175,12,575
92,0,33,180,12,575
93,0,30,185,10,575
94,0,30,185,10,575
95,0,27,189,9,575
96,0,23,193,9,575
97,0,20,198,7,575
98,0,22,198,5,575
99,0,19,201,5,575
100,0,17,203,5,575
101,0,12,208,5,575
102,0,11,187,10,592
103,0,13,165,13,609
104,0,12,143,23,622
105,0,13,129,26,632
106,0,12,124,28,636
107,0,14,115,28,643
108,0,14,115,26,645
109,0,15,111,28,646
110,0,15,109,27,649
111,0,18,105,26,651
112,0,18,104,25,653
113,0,16,104,27,653
114,0,17,101,26,656
115,0,18,99,25,658
116,0,19,99,24,658
117,0,19,98,24,659
118,0,18,97,23,662
119,0,18,95,23,664
120,0,18,89,22,671
121,0,19,80,24,677
122,0,19,76,27,678
123,0,20,72,27,681
124,0,19,62,30,689
125,0,20,57,28,695
126,0,17,59,28,696
127,0,16,56,30,698
128,0,19,51,31,699
129,0,18,52,31,699
130,0,19,49,30,702
131,0,19,46,29,706
132,0,20,41,29,710
133,0,20,43,27,710
134,0,19,41,29,711
135,0,18,40,30,712
136,0,19,36,30,715
137,0,17,37,30,716
138,0,15,39,30,716
139,0,15,37,31,717
140,0,15,39,29,717
141,0,17,38,27,718
142,0,16,39,27,718
143,0,13,40,28,719
144,0,13,40,28,719
145,0,11,41,29,719
146,0,10,42,29,719
147,0,11,41,28,720
148,0,11,41,27,721
149,0,12,41,26,721
150,0,14,41,24,721
151,0,12,43,24,721
152,0,12,43,24,721
153,0,12,41,25,722
154,0,13,40,24,723
155,0,13,41,23,723
156,0,12,43,22,723
157,0,12,41,22,725
158,0,12,39,24,725
159,0,12,38,25,725
160,0,13,37,25,725
161,0,16,34,23,727
162,0,14,34,24,728
163,0,13,36,23,728
164,0,12,36,24,728
165,0,12,37,23,728
166,0,13,36,22,729
167,0,13,36,22,729
168,0,12,35,22,731
169,0,11,35,22,732
170,0,9,36,23,732
171,0,9,36,22,733
172,0,9,34,22,735
173,0,9,31,22,738
174,0,10,31,21,738
175,0,9,30,22,739
176,0,6,33,22,739
177,0,6,32,22,740
178,0,5,30,24,741
179,0,7,30,22,741
180,0,6,30,21,743
181,0,5,30,22,743
182,0,6,29,21,744
183,0,6,27,22,745
184,0,7,27,21,745
185,0,7,27,21,745
186,0,6,26,21,747
187,0,7,26,20,747
188,0,7,25,20,748
189,0,6,26,20,748
190,0,6,24,20,750
191,0,8,22,18,752
192,0,9,22,17,752
193,0,10,22,16,752
194,0,9,24,15,752
195,0,8,25,15,752
196,0,8,25,15,752
197,0,7,24,16,753
198,0,8,22,16,754
199,0,7,22,16,755
200,0,7,20,17,756
201,0,7,20,17,756
202,0,7,21,16,756
203,0,8,20,15,757
204,0,9,19,14,758
205,0,9,17,14,760
206,0,7,18,14,761
207,0,6,19,14,761
208,0,5,20,14,761
209,0,4,21,14,761
210,0,5,20,13,762
211,0,5,17,13,765
212,0,5,17,13,765
213,0,4,17,13,766
214,0,4,17,13,766
215,0,4,15,14,767
216,0,4,14,14,768
217,0,3,15,14,768
218,0,2,16,14,768
219,0,1,17,14,768
220,0,1,17,14,768
221,0,1,16,15,768
222,0,1,16,15,768
223,0,1,16,15,768
224,0,1,15,16,768
225,0,0,16,16,768
226,0,1,16,15,768
227,0,1,16,15,768
228,0,2,16,14,768
229,0,2,14,14,770
230,0,2,13,14,771
231,0,2,13,14,771
232,0,2,12,14,772
233,0,2,12,14,772
234,0,2,11,14,773
235,0,2,11,14,773
236,0,2,11,14,773
237,0,2,10,15,773
238,0,2,10,15,773
239,0,2,10,15,773
240,0,2,10,15,773
241,0,2,9,15,774
242,0,2,8,15,775
243,0,1,8,15,776
244,0,1,7,16,776
245,0,1,7,16,776
246,0,1,7,16,776
247,0,1,7,16,776
248,0,1,6,16,777
249,0,1,6,16,777
250,0,1,6,16,777
251,0,1,6,16,777
252,0,1,5,16,778
253,0,1,4,16,779
254,0,1,3,16,780
255,0,1,3,16,780
256,0,0,4,16,780
257,0,0,4,16,780
258,0,0,4,16,780
259,0,0,4,16,780
260,0,0,3,17,780
261,0,0,3,17,780
262,0,0,3,17,780
263,0,0,3,17,780
264,0,0,3,17,780
265,0,0,3,17,780
266,0,0,3,17,780
267,0,0,3,17,780
268,0,0,3,17,780
269,0,0,3,17,780
270,0,0,3,17,780
271,0,0,3,17,780
272,0,0,3,17,780
273,0,0,3,17,780
274,0,0,3,17,780
275,0,0,3,17,780
276,0,0,2,17,781
277,0,0,2,17,781
278,0,0,1,17,782
279,0,0,1,17,782
280,0,0,1,17,782
281,0,0,1,17,782
282,0,0,1,17,782
283,0,0,1,17,782
284,0,0,1,17,782
285,0,0,1,17,782
286,0,0,1,17,782
287,0,0,1,17,782
288,0,0,1,17,782
289,0,0,1,17,782
290,0,0,1,17,782
291,0,0,0,18,782
292,0,0,0,18,782
293,0,0,0,18,782
294,0,0,0,18,782
295,0,0,0,18,782
296,0,0,0,18,782
297,0,0,0,18,782
298,0,0,0,18,782
299,0,0,0,18,782
300,0,0,0,18,782
301,0,0,0,18,782
302,0,0,0,18,782
303,0,0,0,18,782
304,0,0,0,18,782
305,0,0,0,18,782
306,0,0,0,18,782
307,0,0,0,18,782
308,0,0,0,18,782
309,0,0,0,18,782
310,0,0,0,18,782
311,0,0,0,18,782
312,0,0,0,18,782
313,0,0,0,18,782
314,0,0,0,18,782
315,0,0,0,18,782
316,0,0,0,18,782
317,0,0,0,18,782
318,0,0,0,18,782
319,0,0,0,18,782
320,0,0,0,18,782
321,0,0,0,18,782
322,0,0,0,18,782
323,0,0,0,18,782
324,0,0,0,18,782
325,0,0,0,18,782
326,0,0,0,18,782
327,0,0,0,18,782
328,0,0,0,18,782
329,0,0,0,18,782
330,0,0,0,18,782
331,0,0,0,18,782
332,0,0,0,18,782
333,0,0,0,18,782
334,0,0,0,18,782
335,0,0,0,18,782
336,0,0,0,18,782
337,0,0,0,18,782
338,0,0,0,18,782
339,0,0,0,18,782
340,0,0,0,18,782
341,0,0,0,18,782
342,0,0,0,18,782
343,0,0,0,18,782
344,0,0,0,18,782
345,0,0,0,18,782
346,0,0,0,18,782
347,0,0,0,18,782
348,0,0,0,18,782
349,0,0,0,18,782
350,0,0,0,18,782
351,0,0,0,18,782
352,0,0,0,18,782
353,0,0,0,18,782
354,0,0,0,18,782
355,0,0,0,18,782
356,0,0,0,18,782
357,0,0,0,18,782
358,0,0,0,18,782
359,0,0,0,18,782
360,0,0,0,18,782
361,0,0,0,18,782
362,0,0,0,18,782
363,0,0,0,18,782
364,0,0,0,18,782
365,0,0,0,18,782
366,0,0,0,18,782
367,0,0,0,18,782
368,0,0,0,18,782
369,0,0,0,18,782
370,0,0,0,18,782
371,0,0,0,18,782
372,0,0,0,18,782
373,0,0,0,18,782
374,0,0,0,18,782
375,0,0,0,18,782
376,0,0,0,18,782
377,0,0,0,18,782
378,0,0,0,18,782
379,0,0,0,18,782
380,0,0,0,18,782
381,0,0,0,18,782
382,0,0,0,18,782
383,0,0,0,18,782
384,0,0,0,18,782
385,0,0,0,18,782
386,0,0,0,18,782
387,0,0,0,18,782
388,0,0,0,18,782
389,0,0,0,18,782
390,0,0,0,18,782
391,0,0,0,18,782
392,0,0,0,18,782
393,0,0,0,18,782
394,0,0,0,18,782
395,0,0,0,18,782
396,0,0,0,18,782
397,0,0,0,18,782
398,0,0,0,18,782
399,0,0,0,18,782
400,0,0,0,18,782
401,0,0,0,18,782
402,0,0,0,18,782
403,0,0,0,18,782
