,Susceptible,Exposed,Infected,Recovered,Dead
0,750,0,50,0,0
1,480,270,50,0,0
2,327,423,50,0,0
3,240,510,50,0,0
4,178,572,50,0,0
5,128,622,50,0,0
6,79,671,50,0,0
7,55,695,50,0,0
8,42,708,50,0,0
9,34,716,50,0,0
10,23,727,50,0,0
11,19,731,50,0,0
12,17,733,50,0,0
13,15,735,50,0,0
14,11,739,50,0,0
15,11,739,50,0,0
16,7,473,320,0,0
17,1,326,473,0,0
18,0,240,560,0,0
19,0,178,622,0,0
20,0,128,672,0,0
21,0,79,721,0,0
22,0,55,745,0,0
23,0,42,758,0,0
24,0,34,766,0,0
25,0,23,777,0,0
26,0,19,781,0,0
27,0,17,783,0,0
28,0,15,785,0,0
29,0,11,789,0,0
30,0,11,789,0,0
31,0,7,793,0,0
32,0,1,799,0,0
33,0,0,800,0,0
34,0,0,800,0,0
35,0,0,800,0,0
36,0,0,800,0,0
37,0,0,800,0,0
38,0,0,800,0,0
39,0,0,800,0,0
40,0,0,800,0,0
41,0,0,800,0,0
42,0,0,800,0,0
43,0,0,800,0,0
44,0,0,800,0,0
45,0,0,800,0,0
46,0,0,800,0,0
47,0,0,800,0,0
48,0,0,800,0,0
49,0,0,800,0,0
50,0,0,800,0,0
51,0,0,480,111,209
52,0,28,327,125,320
53,0,58,240,114,388
54,0,74,178,118,430
55,0,86,128,119,467
56,0,92,79,128,501
57,0,99,55,127,519
58,0,103,42,125,530
59,0,106,34,123,537
60,0,106,23,125,546
61,0,108,19,123,550
62,0,110,17,122,551
63,0,113,15,120,552
64,0,115,11,119,555
65,0,115,11,119,555
66,0,115,7,120,558
67,0,91,29,116,564
68,0,69,58,108,565
69,0,61,74,100,565
70,0,57,86,92,565
71,0,57,92,86,565
72,0,57,99,79,565
73,0,58,103,74,565
74,0,61,106,68,565
75,0,68,106,61,565
76,0,70,108,57,565
77,0,72,110,53,565
78,0,75,113,47,565
79,0,79,115,41,565
80,0,81,115,39,565
81,0,84,115,36,565
82,0,86,119,30,565
83,0,83,127,25,565
84,0,76,135,24,565
85,0,72,143,20,565
86,0,68,149,18,565
87,0,62,156,17,565
88,0,60,161,14,565
89,0,55,167,13,565
90,0,50,174,11,565
91,0,47,178,10,565
92,0,43,182,10,565
93,0,37,188,10,565
94,0,31,194,10,565
95,0,30,196,9,565
96,0,28,199,8,565
97,0,22,205,8,565
98,0,18,210,7,565
99,0,17,211,7,565
100,0,13,215,7,565
101,0,12,217,6,565
102,0,11,190,12,587
103,0,10,163,19,608
104,0,11,148,25,616
105,0,11,138,27,624
106,0,12,133,27,628
107,0,15,126,25,634
108,0,15,122,28,635
109,0,17,119,26,638
110,0,16,120,26,638
111,0,19,119,23,639
112,0,19,117,24,640
113,0,19,115,26,640
114,0,19,113,27,641
115,0,21,113,25,641
116,0,21,114,24,641
