,Susceptible,Exposed,Infected,Recovered,Dead
0,30,0,50,0,0
1,17,13,50,0,0
2,11,19,50,0,0
3,7,23,50,0,0
4,7,23,50,0,0
5,6,24,50,0,0
6,4,26,50,0,0
7,2,28,50,0,0
8,2,28,50,0,0
9,2,28,50,0,0
10,2,28,50,0,0
11,2,28,50,0,0
12,2,28,50,0,0
13,0,30,50,0,0
14,0,30,50,0,0
15,0,30,50,0,0
16,0,17,63,0,0
17,0,11,69,0,0
18,0,7,73,0,0
19,0,7,73,0,0
20,0,6,74,0,0
21,0,4,76,0,0
22,0,2,78,0,0
23,0,2,78,0,0
24,0,2,78,0,0
25,0,2,78,0,0
26,0,2,78,0,0
27,0,2,78,0,0
28,0,0,80,0,0
29,0,0,80,0,0
30,0,0,80,0,0
31,0,0,80,0,0
32,0,0,80,0,0
33,0,0,80,0,0
34,0,0,80,0,0
35,0,0,80,0,0
36,0,0,80,0,0
37,0,0,80,0,0
38,0,0,80,0,0
39,0,0,80,0,0
40,0,0,80,0,0
41,0,0,80,0,0
42,0,0,80,0,0
43,0,0,80,0,0
44,0,0,80,0,0
45,0,0,80,0,0
46,0,0,80,0,0
47,0,0,80,0,0
48,0,0,80,0,0
49,0,0,80,0,0
50,0,0,80,0,0
51,0,0,17,18,45
52,0,0,11,19,50
53,0,0,7,20,53
54,0,0,7,20,53
55,0,0,6,21,53
56,0,0,4,21,55
57,0,0,2,21,57
58,0,0,2,21,57
59,0,0,2,21,57
60,0,0,2,21,57
61,0,1,2,20,57
62,0,1,2,20,57
63,0,1,0,21,58
64,0,1,0,21,58
65,0,1,0,21,58
66,0,1,0,21,58
67,0,1,0,21,58
68,0,1,0,21,58
69,0,1,0,21,58
70,0,1,0,21,58
71,0,1,0,21,58
72,0,1,0,21,58
73,0,1,0,21,58
74,0,1,0,21,58
75,0,1,0,21,58
76,0,1,1,20,58
77,0,1,1,20,58
78,0,1,1,20,58
79,0,1,1,20,58
80,0,1,1,20,58
81,0,1,1,20,58
82,0,1,1,20,58
83,0,1,1,20,58
84,0,1,1,20,58
85,0,1,1,20,58
86,0,1,1,20,58
87,0,1,1,20,58
88,0,1,1,20,58
89,0,1,1,20,58
90,0,1,1,20,58
91,0,0,2,20,58
92,0,0,2,20,58
93,0,0,2,20,58
94,0,0,2,20,58
95,0,0,2,20,58
96,0,0,2,20,58
97,0,0,2,20,58
98,0,0,2,20,58
99,0,0,2,20,58
100,0,0,2,20,58
101,0,0,2,20,58
102,0,0,2,20,58
103,0,1,2,19,58
104,0,1,2,19,58
105,0,1,2,19,58
106,0,1,2,19,58
107,0,1,2,19,58
108,0,1,2,19,58
109,0,1,2,19,58
110,0,1,2,19,58
111,0,1,1,20,58
112,0,2,1,19,58
113,0,2,1,19,58
114,0,2,1,19,58
115,0,2,1,19,58
116,0,2,1,19,58
117,0,2,1,19,58
118,0,1,2,19,58
119,0,1,2,19,58
120,0,1,2,19,58
121,0,1,2,19,58
122,0,1,2,19,58
123,0,1,2,19,58
124,0,1,2,19,58
125,0,1,2,19,58
126,0,1,1,19,59
127,0,0,2,19,59
128,0,0,2,19,59
129,0,0,2,19,59
130,0,0,2,19,59
131,0,0,2,19,59
132,0,1,2,18,59
133,0,1,2,18,59
134,0,1,2,18,59
135,0,1,2,18,59
136,0,1,2,18,59
137,0,1,2,18,59
138,0,1,2,18,59
139,0,1,2,18,59
140,0,1,2,18,59
141,0,1,2,18,59
142,0,1,2,18,59
143,0,1,2,18,59
144,0,1,2,18,59
145,0,1,2,18,59
146,0,2,2,17,59
147,0,1,3,17,59
148,0,1,3,17,59
149,0,1,3,17,59
150,0,1,3,17,59
151,0,1,3,17,59
152,0,1,3,17,59
153,0,1,2,17,60
154,0,1,2,17,60
155,0,1,2,17,60
156,0,1,2,17,60
157,0,1,2,17,60
158,0,1,2,17,60
159,0,1,2,17,60
160,0,1,2,17,60
161,0,0,3,17,60
162,0,0,2,17,61
163,0,0,2,17,61
164,0,0,2,17,61
165,0,0,2,17,61
