,Susceptible,Exposed,Infected,Recovered,Dead
0,750,0,50,0,0
1,491,259,50,0,0
2,340,410,50,0,0
3,253,497,50,0,0
4,188,562,50,0,0
5,150,600,50,0,0
6,110,640,50,0,0
7,80,670,50,0,0
8,74,676,50,0,0
9,63,687,50,0,0
10,49,701,50,0,0
11,37,713,50,0,0
12,36,714,50,0,0
13,33,717,50,0,0
14,28,722,50,0,0
15,25,725,50,0,0
16,13,478,309,0,0
17,1,339,460,0,0
18,0,253,547,0,0
19,0,188,612,0,0
20,0,150,650,0,0
21,0,110,690,0,0
22,0,80,720,0,0
23,0,74,726,0,0
24,0,63,737,0,0
25,0,49,751,0,0
26,0,37,763,0,0
27,0,36,764,0,0
28,0,33,767,0,0
29,0,28,772,0,0
30,0,25,775,0,0
31,0,13,787,0,0
32,0,1,799,0,0
33,0,0,800,0,0
34,0,0,800,0,0
35,0,0,800,0,0
36,0,0,800,0,0
37,0,0,800,0,0
38,0,0,800,0,0
39,0,0,800,0,0
40,0,0,800,0,0
41,0,0,800,0,0
42,0,0,800,0,0
43,0,0,800,0,0
44,0,0,800,0,0
45,0,0,800,0,0
46,0,0,800,0,0
47,0,0,800,0,0
48,0,0,800,0,0
49,0,0,800,0,0
50,0,0,800,0,0
51,0,0,491,103,206
52,0,27,340,125,308
53,0,54,253,121,372
54,0,70,188,128,414
55,0,85,150,122,443
56,0,93,110,129,468
57,0,99,80,133,488
58,0,106,74,126,494
59,0,112,63,125,500
60,0,115,49,125,511
61,0,116,37,127,520
62,0,120,36,123,521
63,0,127,33,117,523
64,0,128,28,117,527
65,0,129,25,117,529
66,0,130,13,122,535
67,0,105,28,125,542
68,0,81,54,123,542
69,0,70,70,118,542
70,0,60,85,113,542
71,0,59,93,106,542
72,0,59,99,100,542
73,0,61,106,91,542
74,0,62,112,84,542
75,0,67,115,76,542
76,0,75,116,67,542
77,0,75,120,63,542
78,0,73,127,58,542
79,0,79,128,51,542
80,0,82,129,47,542
81,0,83,130,45,542
82,0,83,132,43,542
83,0,84,135,39,542
84,0,81,140,37,542
85,0,81,145,32,542
86,0,76,152,30,542
87,0,71,158,29,542
88,0,63,167,28,542
89,0,57,174,27,542
90,0,53,182,23,542
91,0,47,191,20,542
92,0,43,195,20,542
93,0,40,200,18,542
94,0,36,207,15,542
95,0,35,211,12,542
96,0,33,213,12,542
97,0,34,215,9,542
98,0,30,219,9,542
99,0,29,221,8,542
100,0,25,226,7,542
101,0,24,228,6,542
102,0,25,202,12,561
103,0,25,176,21,578
104,0,24,161,28,587
105,0,26,150,25,599
106,0,24,145,25,606
107,0,26,139,24,611
108,0,26,134,25,615
109,0,25,131,24,620
110,0,25,131,22,622
111,0,28,130,19,623
112,0,26,129,19,626
113,0,28,122,18,632
114,0,28,122,18,632
115,0,27,122,18,633
116,0,27,122,17,634
117,0,28,122,14,636
118,0,27,120,17,636
119,0,28,115,17,640
120,0,23,116,17,644
121,0,23,110,17,650
122,0,22,106,19,653
123,0,20,99,22,659
124,0,20,94,20,666
125,0,18,89,22,671
126,0,15,83,24,678
127,0,15,80,23,682
128,0,14,77,24,685
129,0,16,71,24,689
130,0,18,67,23,692
131,0,18,66,22,694
132,0,17,67,21,695
133,0,17,63,22,698
134,0,17,62,21,700
135,0,17,58,23,702
136,0,17,57,22,704
137,0,18,57,21,704
138,0,18,56,21,705
139,0,16,57,22,705
140,0,15,54,22,709
141,0,15,51,22,712
142,0,17,52,19,712
143,0,16,51,20,713
144,0,13,51,22,714
145,0,13,50,21,716
146,0,12,51,21,716
147,0,12,50,20,718
148,0,12,50,20,718
149,0,12,50,19,719
150,0,13,50,18,719
151,0,13,50,17,720
152,0,11,50,17,722
153,0,12,49,17,722
154,0,12,49,17,722
155,0,12,43,20,725
156,0,12,42,21,725
157,0,9,43,21,727
158,0,9,41,22,728
159,0,9,39,22,730
160,0,7,38,23,732
161,0,7,35,25,733
162,0,6,36,24,734
163,0,7,34,25,734
164,0,6,34,26,734
165,0,4,36,26,734
166,0,3,36,26,735
167,0,4,33,25,738
168,0,4,34,24,738
169,0,5,33,23,739
170,0,5,32,23,740
171,0,5,31,23,741
172,0,5,30,24,741
173,0,6,30,23,741
174,0,6,28,23,743
175,0,7,27,22,744
176,0,8,27,21,744
177,0,7,27,22,744
178,0,6,27,22,745
179,0,6,24,22,748
180,0,7,22,21,750
181,0,7,21,21,751
182,0,6,20,22,752
183,0,5,21,22,752
184,0,4,21,22,753
185,0,4,20,22,754
186,0,4,19,22,755
187,0,4,17,23,756
188,0,3,18,23,756
189,0,3,18,23,756
190,0,4,19,21,756
191,0,3,20,21,756
192,0,3,17,23,757
193,0,3,17,23,757
194,0,3,17,23,757
195,0,2,16,25,757
196,0,2,16,25,757
197,0,3,14,24,759
198,0,3,14,24,759
199,0,3,13,25,759
200,0,3,11,27,759
201,0,3,10,27,760
202,0,3,10,27,760
203,0,3,9,28,760
204,0,3,9,28,760
205,0,2,11,27,760
206,0,3,11,26,760
207,0,3,11,26,760
208,0,3,11,26,760
209,0,4,11,25,760
210,0,5,11,24,760
211,0,5,11,24,760
212,0,4,11,24,761
213,0,4,10,24,762
214,0,4,10,24,762
215,0,4,10,24,762
216,0,5,10,23,762
217,0,5,9,24,762
218,0,5,8,25,762
219,0,5,7,25,763
220,0,4,8,25,763
221,0,4,9,24,763
222,0,4,9,24,763
223,0,4,8,24,764
224,0,3,9,24,764
225,0,2,9,25,764
226,0,2,8,25,765
227,0,2,8,25,765
228,0,2,8,25,765
229,0,2,8,25,765
230,0,2,7,25,766
231,0,1,8,25,766
232,0,1,8,25,766
233,0,1,8,25,766
234,0,1,8,25,766
235,0,1,8,25,766
236,0,1,9,24,766
237,0,1,9,24,766
238,0,1,9,24,766
239,0,1,9,24,766
240,0,1,7,25,767
241,0,1,7,25,767
242,0,1,7,25,767
243,0,1,7,25,767
244,0,1,7,25,767
245,0,1,7,25,767
246,0,2,7,24,767
247,0,2,6,24,768
248,0,2,6,24,768
249,0,2,6,24,768
250,0,2,6,24,768
251,0,1,7,24,768
252,0,1,7,24,768
253,0,1,7,24,768
254,0,1,7,24,768
255,0,1,6,24,769
256,0,1,5,25,769
257,0,1,5,25,769
258,0,2,5,24,769
259,0,2,4,24,770
260,0,2,3,25,770
261,0,1,4,25,770
262,0,1,4,25,770
263,0,1,4,25,770
264,0,1,4,25,770
265,0,1,4,25,770
266,0,1,3,25,771
267,0,1,3,25,771
268,0,1,3,25,771
269,0,1,3,25,771
270,0,1,3,25,771
271,0,1,2,25,772
272,0,1,2,25,772
273,0,0,3,25,772
274,0,0,3,25,772
275,0,0,3,25,772
276,0,0,3,25,772
277,0,0,3,25,772
278,0,0,3,25,772
279,0,0,3,25,772
280,0,0,3,25,772
281,0,0,3,25,772
282,0,0,3,25,772
283,0,0,3,25,772
284,0,0,3,25,772
285,0,0,3,25,772
286,0,0,2,26,772
287,0,0,2,26,772
288,0,0,2,26,772
289,0,0,2,26,772
290,0,0,2,26,772
291,0,0,2,26,772
292,0,0,2,26,772
293,0,0,2,26,772
294,0,0,2,26,772
295,0,0,2,26,772
296,0,0,1,26,773
297,0,0,1,26,773
298,0,0,1,26,773
299,0,0,1,26,773
300,0,0,1,26,773
