,Susceptible,Exposed,Infected,Recovered,Dead
0,750,0,50,0,0
1,493,257,50,0,0
2,369,381,50,0,0
3,278,472,50,0,0
4,206,544,50,0,0
5,166,584,50,0,0
6,116,634,50,0,0
7,85,665,50,0,0
8,76,674,50,0,0
9,64,686,50,0,0
10,46,704,50,0,0
11,39,711,50,0,0
12,36,714,50,0,0
13,33,717,50,0,0
14,24,726,50,0,0
15,22,728,50,0,0
16,7,486,307,0,0
17,2,367,431,0,0
18,0,278,522,0,0
19,0,206,594,0,0
20,0,166,634,0,0
21,0,116,684,0,0
22,0,85,715,0,0
23,0,76,724,0,0
24,0,64,736,0,0
25,0,46,754,0,0
26,0,39,761,0,0
27,0,36,764,0,0
28,0,33,767,0,0
29,0,24,776,0,0
30,0,22,778,0,0
31,0,7,793,0,0
32,0,2,798,0,0
33,0,0,800,0,0
34,0,0,800,0,0
35,0,0,800,0,0
36,0,0,800,0,0
37,0,0,800,0,0
38,0,0,800,0,0
39,0,0,800,0,0
40,0,0,800,0,0
41,0,0,800,0,0
42,0,0,800,0,0
43,0,0,800,0,0
44,0,0,800,0,0
45,0,0,800,0,0
46,0,0,800,0,0
47,0,0,800,0,0
48,0,0,800,0,0
49,0,0,800,0,0
50,0,0,800,0,0
51,0,0,493,109,198
52,0,19,369,124,288
53,0,45,278,119,358
54,0,74,206,112,408
55,0,87,166,116,431
56,0,94,116,119,471
57,0,103,85,121,491
58,0,108,76,120,496
59,0,111,64,119,506
60,0,117,46,116,521
61,0,120,39,114,527
62,0,122,36,113,529
63,0,125,33,111,531
64,0,127,24,112,537
65,0,129,22,111,538
66,0,131,7,112,550
67,0,114,21,111,554
68,0,89,45,111,555
69,0,63,74,108,555
70,0,57,87,101,555
71,0,57,94,94,555
72,0,57,103,85,555
73,0,58,108,79,555
74,0,62,111,72,555
75,0,66,117,62,555
76,0,66,120,59,555
77,0,67,122,56,555
78,0,70,125,50,555
79,0,73,127,45,555
80,0,78,129,38,555
81,0,77,131,37,555
82,0,79,133,33,555
83,0,79,134,32,555
84,0,77,137,31,555
85,0,72,144,29,555
86,0,66,151,28,555
87,0,60,160,25,555
88,0,56,166,23,555
89,0,53,173,19,555
90,0,46,183,16,555
91,0,45,186,14,555
92,0,43,189,13,555
